Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
0,9.074,2.464,0,0.001,1.2368465,14.640032,5.7,0.01,0.01,0,0,1,0,0.1,0.69123615,0.30876385,0.0022080194,0.0030377808,0,0.014929882
0.019019019,9.0739926,2.4639962,6.6354256e-07,0.0072170683,1.2357432,14.63965,5.7062813,0.01,0.010180494,0.00029546306,0,0.58558892,0.015234167,0.1,0.40378357,0.18180535,0.0024294781,0.0032730472,0,0.016078065
0.038038038,9.0739755,2.4639886,1.3801473e-06,0.0098891465,1.2351788,14.639484,5.7125575,0.01,0.01037281,0.00060990647,0,0.40751439,0.030241136,0.1,0.28029942,0.12721497,0.0025868902,0.0034540469,0,0.016958933
0.057057057,9.0739533,2.4639795,2.1366431e-06,0.011037161,1.2348676,14.639378,5.7188291,0.01,0.010574701,0.00093981922,0,0.33104731,0.045028953,0.1,0.22713646,0.10391084,0.0027132628,0.0036112851,0,0.017722479
0.076076076,9.0739282,2.4639697,2.9270674e-06,0.011528935,1.2346744,14.639289,5.7250965,0.01,0.010785248,0.0012837846,0,0.29833248,0.059605244,0.1,0.20417801,0.094154476,0.002826845,0.0037603528,0,0.018445292
0.095095095,9.0739011,2.4639595,3.7492121e-06,0.011737698,1.2345351,14.639203,5.7313598,0.01,0.011004195,0.0016414206,0,0.28448784,0.073977229,0.1,0.19421278,0.090275066,0.0029366444,0.0039087433,0,0.019164144
0.11411411,9.0738726,2.4639488,4.6026841e-06,0.011824215,1.2344195,14.639116,5.7376189,0.01,0.011231598,0.0020128385,0,0.27879582,0.088151736,0.1,0.18984539,0.088950435,0.0030469403,0.0040600239,0,0.019896512
0.13313313,9.0738428,2.4639377,5.4879509e-06,0.011857839,1.234313,14.639026,5.7438738,0.01,0.011467664,0.0023983856,0,0.27663292,0.10213521,0.1,0.18789334,0.088739586,0.0031597736,0.0042159447,0,0.020650945
0.15215215,9.0738118,2.4639261,6.4058971e-06,0.011868536,1.2342087,14.638933,5.7501244,0.01,0.011712678,0.0027985287,0,0.27600151,0.11593373,0.1,0.18698497,0.089016543,0.0032761597,0.004377433,0,0.021431953
0.17117117,9.0737796,2.4639142,7.3576223e-06,0.011869273,1.2341033,14.638837,5.7563705,0.01,0.011966966,0.0032138008,0,0.27603719,0.12955302,0.1,0.18652822,0.089508973,0.0033966521,0.0045450492,0,0.022242241
0.19019019,9.0737461,2.4639017,8.3443508e-06,0.011865672,1.2339953,14.638738,5.7626121,0.01,0.012230879,0.0036447778,0,0.27636536,0.14299845,0.1,0.18626713,0.090098229,0.0035215996,0.0047191939,0,0.02308373
0.20920921,9.0737114,2.4638888,9.3673919e-06,0.011860173,1.2338836,14.638634,5.768849,0.01,0.012504791,0.0040920686,0,0.27682344,0.15627508,0.1,0.18609089,0.090732555,0.0036512621,0.0049002015,0,0.023958014
0.22822823,9.0736753,2.4638755,1.0428123e-05,0.011853837,1.2337679,14.638527,5.7750811,0.01,0.012789092,0.0045563109,0,0.2773408,0.16938764,0.1,0.18595144,0.091389352,0.0037858636,0.0050883825,0,0.024866567
0.24724725,9.0736379,2.4638616,1.1527984e-05,0.011847128,1.2336478,14.638415,5.7813082,0.01,0.013084191,0.0050381704,0,0.2778867,0.18234056,0.1,0.18582795,0.092058752,0.003925616,0.0052840435,0,0.025810841
0.26626627,9.073599,2.4638472,1.2668474e-05,0.011840248,1.2335231,14.638299,5.7875303,0.01,0.013390512,0.0055383404,0,0.2784478,0.19513796,0.1,0.18571134,0.092736453,0.0040707301,0.0054874956,0,0.026792309
0.28528529,9.0735587,2.4638322,1.3851153e-05,0.011833286,1.2333934,14.638179,5.793747,0.01,0.013708498,0.0060575427,0,0.27901829,0.2077837,0.1,0.18559769,0.093420594,0.0042214208,0.0056990593,0,0.027812487
0.3043043,9.0735168,2.4638167,1.5077644e-05,0.011826282,1.2332587,14.638055,5.7999584,0.01,0.014038609,0.0065965282,0,0.27959568,0.22028136,0.1,0.18548529,0.094110383,0.0043779093,0.0059190665,0,0.028872944
0.32332332,9.0734734,2.4638006,1.6349632e-05,0.011819255,1.2331187,14.637925,5.8061642,0.01,0.014381324,0.0071560785,0,0.28017892,0.23263427,0.1,0.18537342,0.094805498,0.0045404246,0.0061478618,0,0.029975308
0.34234234,9.0734283,2.4637838,1.7668872e-05,0.011812212,1.2329732,14.63779,5.8123643,0.01,0.014737142,0.0077370065,0,0.28076759,0.2448455,0.1,0.18526177,0.095505826,0.0047092044,0.0063858036,0,0.03112127
0.36136136,9.0733815,2.4637665,1.9037185e-05,0.011805159,1.2328219,14.637651,5.8185585,0.01,0.01510658,0.0083401582,0,0.28136156,0.2569179,0.1,0.18515022,0.096211346,0.0048844955,0.0066332643,0,0.032312591
0.38038038,9.0733329,2.4637485,2.0456465e-05,0.011798099,1.2326647,14.637506,5.8247465,0.01,0.015490178,0.0089664133,0,0.28196082,0.26885411,0.1,0.18503874,0.096922079,0.0050665542,0.0068906318,0,0.0335511
0.3993994,9.0732824,2.4637297,2.1928681e-05,0.011791034,1.2325012,14.637355,5.8309283,0.01,0.015888497,0.0096166873,0,0.28256539,0.28065652,0.1,0.18492733,0.097638066,0.0052556467,0.0071583092,0,0.0348387
0.41841842,9.07323,2.4637103,2.3455877e-05,0.011783967,1.2323313,14.637198,5.8371036,0.01,0.016302121,0.010291933,0,0.28317537,0.29232736,0.1,0.18481601,0.098359355,0.0054520498,0.007436716,0,0.036177368
0.43743744,9.0731756,2.4636901,2.5040182e-05,0.011776897,1.2321547,14.637036,5.8432722,0.01,0.016731656,0.01099314,0,0.28379082,0.30386865,0.1,0.18470482,0.099086001,0.0056560509,0.0077262887,0,0.037569163
0.45645646,9.0731191,2.4636692,2.6683804e-05,0.011769829,1.231971,14.636867,5.8494339,0.01,0.017177736,0.01172134,0,0.28441183,0.31528224,0.1,0.18459377,0.099818061,0.0058679485,0.0080274812,0,0.039016224
0.47547548,9.0730604,2.4636474,2.8389041e-05,0.011762763,1.2317801,14.636691,5.8555885,0.01,0.017641016,0.012477605,0,0.28503851,0.32656981,0.1,0.18448292,0.1005556,0.0060880529,0.0083407658,0,0.040520776
0.49449449,9.0729995,2.4636248,3.0158279e-05,0.011755702,1.2315817,14.636509,5.8617357,0.01,0.018122181,0.01326305,0,0.28567096,0.33773289,0.1,0.18437229,0.10129867,0.0063166862,0.0086666334,0,0.042085131
0.51351351,9.0729362,2.4636013,3.1994e-05,0.011748648,1.2313753,14.63632,5.8678753,0.01,0.01862194,0.014078836,0,0.28630926,0.34877285,0.1,0.18426192,0.10204734,0.0065541831,0.009005595,0,0.043711695
0.53253253,9.0728705,2.463577,3.389878e-05,0.011741603,1.2311608,14.636123,5.874007,0.01,0.019141035,0.014926168,0,0.28695355,0.35969094,0.1,0.18415186,0.10280168,0.0068008914,0.0093581817,0,0.045402968
0.55155155,9.0728022,2.4635516,3.5875298e-05,0.011734569,1.2309378,14.635919,5.8801306,0.01,0.019680234,0.015806302,0,0.28760391,0.37048828,0.1,0.18404216,0.10356176,0.007057172,0.009724946,0,0.04716155
0.57057057,9.0727313,2.4635253,3.792634e-05,0.011727549,1.2307059,14.635707,5.8862458,0.01,0.020240338,0.016720544,0,0.28826048,0.38116586,0.1,0.18393284,0.10432764,0.0073233999,0.010106462,0,0.048990141
0.58958959,9.0726577,2.463498,4.0054797e-05,0.011720545,1.2304648,14.635486,5.8923524,0.01,0.020822178,0.017670252,0,0.28892337,0.39172457,0.1,0.18382397,0.1050994,0.0075999645,0.010503328,0,0.050891552
0.60860861,9.0725812,2.4634697,4.2263677e-05,0.01171356,1.2302141,14.635257,5.8984499,0.01,0.02142662,0.018656839,0,0.28959271,0.40216521,0.1,0.18371559,0.10587712,0.0078872704,0.010916164,0,0.052868701
0.62762763,9.0725018,2.4634402,4.4556103e-05,0.011706597,1.2299535,14.635019,5.9045382,0.01,0.022054566,0.019681773,0,0.29026862,0.41248848,0.1,0.18360775,0.10666087,0.0081857373,0.011345617,0,0.054924622
0.64664665,9.0724192,2.4634096,4.6935321e-05,0.011699658,1.2296825,14.634771,5.9106169,0.01,0.022706951,0.020746583,0,0.29095123,0.42269499,0.1,0.1835005,0.10745073,0.0084958013,0.011792356,0,0.057062469
0.66566567,9.0723335,2.4633778,4.9404703e-05,0.011692746,1.2294007,14.634514,5.9166856,0.01,0.02338475,0.021852858,0,0.2916407,0.4327853,0.1,0.18339391,0.10824679,0.0088179151,0.012257081,0,0.059285519
0.68468468,9.0722444,2.4633447,5.1967755e-05,0.011685864,1.2291077,14.634247,5.922744,0.01,0.024088974,0.02300225,0,0.29233715,0.44275987,0.1,0.18328802,0.10904913,0.0091525486,0.012740517,0,0.061597178
0.7037037,9.0721518,2.4633104,5.4628115e-05,0.011679016,1.2288031,14.63397,5.9287919,0.01,0.024820678,0.024196478,0,0.29304075,0.45261914,0.1,0.1831829,0.10985784,0.0095001899,0.013243417,0,0.064000982
0.72272272,9.0720557,2.4632748,5.7389568e-05,0.011672205,1.2284863,14.633681,5.9348286,0.01,0.025580956,0.025437329,0,0.29375163,0.46236346,0.1,0.18307862,0.11067302,0.0098613453,0.013766565,0,0.06650061
0.74174174,9.0719558,2.4632377,6.0256043e-05,0.011665434,1.228157,14.633381,5.940854,0.01,0.026370949,0.026726662,0,0.29446998,0.47199317,0.1,0.18297522,0.11149475,0.010236541,0.014310775,0,0.06909988
0.76076076,9.071852,2.4631992,6.3231624e-05,0.011658708,1.2278145,14.63307,5.9468676,0.01,0.02719184,0.02806641,0,0.29519594,0.48150853,0.1,0.1828728,0.11232314,0.010626322,0.014876895,0,0.071802761
0.77977978,9.0717441,2.4631592,6.6320551e-05,0.011652029,1.2274584,14.632746,5.9528689,0.01,0.02804486,0.029458581,0,0.2959297,0.49090981,0.1,0.18277141,0.11315829,0.011031255,0.015465802,0,0.074613375
0.7987988,9.0716321,2.4631177,6.952723e-05,0.011645402,1.2270882,14.63241,5.9588575,0.01,0.028931291,0.030905266,0,0.29667143,0.50019723,0.1,0.18267112,0.11400031,0.011451928,0.016078411,0,0.077536003
0.81781782,9.0715156,2.4630745,7.2856239e-05,0.011638831,1.2267032,14.63206,5.964833,0.01,0.029852464,0.032408637,0,0.29742133,0.50937098,0.1,0.18257202,0.11484931,0.011888951,0.016715671,0,0.080575093
0.83683684,9.0713946,2.4630296,7.6312331e-05,0.01163232,1.2263029,14.631697,5.9707949,0.01,0.030809763,0.033970953,0,0.29817958,0.51843126,0.1,0.18247419,0.11570539,0.012342957,0.017378567,0,0.083735263
0.85585586,9.0712688,2.462983,7.9900444e-05,0.011625873,1.2258867,14.631319,5.9767427,0.01,0.031804626,0.03559456,0,0.29894639,0.52737823,0.1,0.1823777,0.11656868,0.012814603,0.018068125,0,0.087021309
0.87487487,9.0711382,2.4629345,8.3625708e-05,0.011619496,1.2254539,14.630926,5.9826758,0.01,0.03283855,0.037281902,0,0.29972196,0.53621207,0.1,0.18228265,0.11743931,0.013304569,0.018785408,0,0.090438212
0.89389389,9.0710024,2.4628841,8.7493449e-05,0.011613192,1.225004,14.630518,5.9885938,0.01,0.033913091,0.039035515,0,0.30050651,0.54493293,0.1,0.18218912,0.11831739,0.013813563,0.01953152,0,0.093991143
0.91291291,9.0708612,2.4628318,9.15092e-05,0.011606968,1.2245361,14.630094,5.9944961,0.01,0.035029864,0.040858037,0,0.30130028,0.55354099,0.1,0.18209721,0.11920307,0.014342318,0.02030761,0,0.097685471
0.93193193,9.0707146,2.4627774,9.5678705e-05,0.011600828,1.2240497,14.629654,6.0003821,0.01,0.03619055,0.04275221,0,0.30210348,0.56203641,0.1,0.182007,0.12009648,0.014891596,0.021114868,0,0.10152677
0.95095095,9.0705622,2.4627209,0.00010000793,0.011594777,1.2235439,14.629196,6.0062513,0.01,0.037396895,0.044720884,0,0.30291638,0.57041937,0.1,0.18191862,0.12099776,0.015462183,0.021954532,0,0.10552082
0.96996997,9.0704038,2.4626622,0.00010450308,0.011588822,1.223018,14.628719,6.0121029,0.01,0.038650715,0.046767022,0,0.30373921,0.57869006,0.1,0.18183215,0.12190706,0.0160549,0.022827886,0,0.10967364
0.98898899,9.0702391,2.4626011,0.00010917057,0.011582967,1.2224713,14.628225,6.0179363,0.01,0.039953896,0.048893701,0,0.30457224,0.58684867,0.1,0.18174771,0.12282453,0.016670594,0.023736262,0,0.11399145
1.008008,9.070068,2.4625377,0.0001140171,0.01157722,1.2219029,14.62771,6.0237509,0.01,0.041308398,0.05110412,0,0.30541576,0.59489544,0.1,0.18166541,0.12375035,0.017310145,0.024681045,0,0.11848071
