================================================================
BIO-REACTOR LSTM MODEL PERFORMANCE REPORT
================================================================

STATE VARIABLE       | MSE (Mean Sq. Error) | MAE (Mean Abs. Error) | R2 Score  
-------------------------------------------------------------------------------------
nH2_g                | 0.000001             | 0.000623             | 0.9933    
nCO2_g               | 0.000000             | 0.000193             | 0.9949    
nCH4_g               | 0.000000             | 0.000010             | 0.9976    
nH2S_g               | 0.000000             | 0.000010             | 0.9947    
H2_aq                | 0.000000             | 0.000133             | 1.0000    
CO2_aq               | 0.000001             | 0.000779             | 0.9984    
SO4                  | 0.000000             | 0.000233             | 1.0000    
FeS                  | 0.000000             | 0.000158             | -21500635335180280304156803072.0000
X                    | 0.000021             | 0.003970             | 0.9957    
Acetate              | 0.000000             | 0.000431             | 1.0000    
HCO3                 | 0.000000             | 0.000037             | 0.0000    
S_tot                | 0.000000             | 0.000328             | 0.9994    
Lag                  | 0.000000             | 0.000047             | 1.0000    
Fe_pool              | 0.000000             | 0.000261             | 0.0000    
-------------------------------------------------------------------------------------
AVERAGE R2 SCORE: -1535759666798591371760369664.0000
(R2 skoru 1.0'a ne kadar yakınsa, model o kadar başarılıdır.)


================================================================
DETAILED DATA LOG (First 200 Prediction Steps)
Format: Time | True Value | Predicted Value | Absolute Diff
================================================================

--- STATE: nH2_g ---
Time (h)   | True            | Pred            | Diff           
------------------------------------------------------------
0.4002     | 9.073278        | 9.075195        | 0.001917       
0.4082     | 9.073256        | 9.074217        | 0.000960       
0.4162     | 9.073234        | 9.073638        | 0.000404       
0.4242     | 9.073211        | 9.073332        | 0.000120       
0.4322     | 9.073188        | 9.073197        | 0.000009       
0.4402     | 9.073165        | 9.073161        | 0.000004       
0.4482     | 9.073141        | 9.073173        | 0.000031       
0.4562     | 9.073117        | 9.073195        | 0.000078       
0.4642     | 9.073092        | 9.073211        | 0.000118       
0.4722     | 9.073067        | 9.073207        | 0.000139       
0.4802     | 9.073042        | 9.073178        | 0.000136       
0.4882     | 9.073016        | 9.073126        | 0.000109       
0.4962     | 9.072990        | 9.073051        | 0.000061       
0.5042     | 9.072964        | 9.072961        | 0.000003       
0.5122     | 9.072937        | 9.072857        | 0.000080       
0.5202     | 9.072909        | 9.072746        | 0.000163       
0.5282     | 9.072881        | 9.072632        | 0.000249       
0.5362     | 9.072853        | 9.072518        | 0.000335       
0.5442     | 9.072824        | 9.072408        | 0.000416       
0.5522     | 9.072795        | 9.072304        | 0.000491       
0.5602     | 9.072765        | 9.072206        | 0.000559       
0.5682     | 9.072735        | 9.072118        | 0.000617       
0.5762     | 9.072705        | 9.072039        | 0.000666       
0.5842     | 9.072673        | 9.071969        | 0.000704       
0.5922     | 9.072642        | 9.071909        | 0.000733       
0.6002     | 9.072610        | 9.071859        | 0.000750       
0.6082     | 9.072577        | 9.071818        | 0.000759       
0.6162     | 9.072544        | 9.071787        | 0.000757       
0.6242     | 9.072510        | 9.071763        | 0.000747       
0.6323     | 9.072476        | 9.071747        | 0.000729       
0.6403     | 9.072441        | 9.071737        | 0.000704       
0.6483     | 9.072405        | 9.071734        | 0.000671       
0.6563     | 9.072369        | 9.071737        | 0.000632       
0.6643     | 9.072333        | 9.071745        | 0.000588       
0.6723     | 9.072296        | 9.071755        | 0.000540       
0.6803     | 9.072258        | 9.071772        | 0.000486       
0.6883     | 9.072220        | 9.071789        | 0.000431       
0.6963     | 9.072181        | 9.071810        | 0.000371       
0.7043     | 9.072141        | 9.071832        | 0.000310       
0.7123     | 9.072101        | 9.071855        | 0.000247       
0.7203     | 9.072060        | 9.071877        | 0.000183       
0.7283     | 9.072019        | 9.071902        | 0.000117       
0.7363     | 9.071977        | 9.071925        | 0.000051       
0.7443     | 9.071934        | 9.071949        | 0.000015       
0.7523     | 9.071890        | 9.071970        | 0.000080       
0.7603     | 9.071846        | 9.071990        | 0.000144       
0.7683     | 9.071800        | 9.072008        | 0.000208       
0.7763     | 9.071755        | 9.072024        | 0.000270       
0.7843     | 9.071708        | 9.072039        | 0.000331       
0.7923     | 9.071661        | 9.072049        | 0.000388       
0.8003     | 9.071613        | 9.072058        | 0.000445       
0.8083     | 9.071564        | 9.072062        | 0.000497       
0.8163     | 9.071514        | 9.072063        | 0.000549       
0.8243     | 9.071464        | 9.072061        | 0.000596       
0.8323     | 9.071413        | 9.072054        | 0.000641       
0.8403     | 9.071361        | 9.072044        | 0.000683       
0.8483     | 9.071308        | 9.072029        | 0.000721       
