Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
0,9.074,2.464,0,0.001,1.2368465,14.640032,5.7,0.01,0.01,0,0,1,0,0.1,0.69123615,0.30876385,0.0022080194,0.0030377808,0,0.014929882
0.038076152,9.0739754,2.4639885,1.3816263e-06,0.0098925521,1.235178,14.639483,5.71257,0.01,0.010373205,0.00061055288,0,0.40728749,0.030270987,0.1,0.28014196,0.12714553,0.0025871663,0.0034543786,0,0.016960546
0.076152305,9.0739281,2.4639697,2.9302999e-06,0.011530181,1.2346737,14.639288,5.7251216,0.01,0.010786109,0.0012851907,0,0.29824966,0.05966325,0.1,0.20411927,0.094130395,0.0028272886,0.0037609456,0,0.018448165
0.11422846,9.0738724,2.4639487,4.6079106e-06,0.011824532,1.2344188,14.639115,5.7376565,0.01,0.011232991,0.0020151137,0,0.27877516,0.08823637,0.1,0.18982842,0.088946741,0.0030476097,0.0040609462,0,0.019900976
0.15230461,9.0738115,2.463926,6.4133903e-06,0.011868571,1.2342079,14.638933,5.7501745,0.01,0.011714679,0.0028017967,0,0.27599986,0.11604361,0.1,0.18698,0.089019861,0.0032771087,0.0043787516,0,0.021438329
0.19038076,9.0737458,2.4639016,8.3544193e-06,0.011865624,1.2339942,14.638737,5.7626746,0.01,0.012233573,0.0036491777,0,0.27636947,0.14313231,0.1,0.18626506,0.090104416,0.003522875,0.0047209731,0,0.023092326
0.22845691,9.0736748,2.4638753,1.0441113e-05,0.011853758,1.2337665,14.638525,5.775156,0.01,0.012792576,0.0045619988,0,0.27734723,0.16954433,0.1,0.18594989,0.091397339,0.0037875129,0.0050906901,0,0.024877706
0.26653307,9.0735985,2.463847,1.2684769e-05,0.011840151,1.2335213,14.638298,5.7876175,0.01,0.013394891,0.0055454905,0,0.27845574,0.19531639,0.1,0.18570973,0.092746008,0.004072805,0.0054904065,0,0.026806349
0.30460922,9.0735162,2.4638164,1.5097673e-05,0.01182617,1.2332565,14.638053,5.800058,0.01,0.014044003,0.0066053347,0,0.27960498,0.22048054,0.1,0.1854835,0.094121485,0.0043804666,0.0059226643,0,0.028890282
0.34268537,9.0734275,2.4637835,1.7693111e-05,0.011812085,1.2329705,14.637788,5.8124761,0.01,0.014743683,0.0077476856,0,0.28077826,0.24506446,0.1,0.18525975,0.095518504,0.0047123075,0.0063901813,0,0.03114235
0.38076152,9.0733319,2.4637481,2.0485442e-05,0.011797958,1.2326614,14.637503,5.8248705,0.01,0.015498014,0.0089792059,0,0.28197288,0.26909193,0.1,0.1850365,0.096936376,0.0050702736,0.0068958935,0,0.033576415
0.41883768,9.0732288,2.4637099,2.3490179e-05,0.011783811,1.2323275,14.637195,5.8372397,0.01,0.016311416,0.010307107,0,0.28318888,0.29258317,0.1,0.18481356,0.098375315,0.0054564639,0.0074429774,0,0.036207469
0.45691383,9.0731177,2.4636686,2.672408e-05,0.011769659,1.2319665,14.636863,5.849582,0.01,0.017188672,0.011739193,0,0.28442684,0.31555516,0.1,0.1845911,0.099835733,0.005873144,0.0080348713,0,0.039051722
0.49498998,9.0729979,2.4636242,3.0205249e-05,0.011755519,1.2315764,14.636504,5.8618957,0.01,0.018134961,0.013283913,0,0.28568751,0.33802206,0.1,0.18436941,0.1013181,0.0063227595,0.0086752957,0,0.042126707
0.53306613,9.0728686,2.4635763,3.3953242e-05,0.011741406,1.2311547,14.636118,5.8741789,0.01,0.019155885,0.014950408,0,0.28697171,0.35999551,0.1,0.18414878,0.10282293,0.0068079494,0.0093682758,0,0.045451377
0.57114228,9.0727292,2.4635245,3.7989178e-05,0.011727338,1.2306988,14.6357,5.8864295,0.01,0.020257507,0.016748569,0,0.28828032,0.38148498,0.1,0.18392956,0.10435075,0.0073315608,0.010118165,0,0.049046222
0.60921844,9.0725787,2.4634687,4.2335868e-05,0.011713337,1.2302059,14.635249,5.8986453,0.01,0.021446385,0.0186891,0,0.28961428,0.40249803,0.1,0.18371212,0.10590216,0.007896665,0.010929673,0,0.052933383
0.64729459,9.0724164,2.4634085,4.7017945e-05,0.011699422,1.2296731,14.634763,5.9108238,0.01,0.022729619,0.020783581,0,0.29097461,0.42304066,0.1,0.18349686,0.10747775,0.0085065742,0.011807889,0,0.057136784
0.68537074,9.0722411,2.4633435,5.2062005e-05,0.011685616,1.2290969,14.634237,5.9229624,0.01,0.024114884,0.023044538,0,0.29236241,0.44311752,0.1,0.18328422,0.10907819,0.0091648597,0.012758314,0,0.061682264
0.72344689,9.072052,2.4632734,5.7496764e-05,0.011671947,1.228474,14.63367,5.9350583,0.01,0.025610485,0.025485522,0,0.29377885,0.46273222,0.1,0.18307466,0.11070419,0.0098753708,0.013786895,0,0.06659773
0.76152305,9.0718477,2.4631976,6.3353219e-05,0.011658439,1.2278005,14.633057,5.9471083,0.01,0.027225403,0.028121186,0,0.2952252,0.48188753,0.1,0.18286871,0.11235649,0.010642256,0.014900054,0,0.07191331
0.7995992,9.0716272,2.4631159,6.966483e-05,0.011645124,1.2270723,14.632395,5.9591092,0.01,0.028969348,0.030967376,0,0.29670283,0.50058559,0.1,0.18266693,0.1140359,0.011469986,0.016104726,0,0.077661521
0.83767535,9.0713892,2.4630276,7.6467706e-05,0.011632034,1.2262849,14.63168,5.9710574,0.01,0.030852822,0.034041225,0,0.29821321,0.5188281,0.1,0.18246991,0.1157433,0.012363375,0.017408399,0,0.08387745
0.8757515,9.071132,2.4629322,8.3800807e-05,0.011619204,1.2254336,14.630908,5.9829489,0.01,0.032887173,0.037361253,0,0.29975792,0.53661651,0.1,0.1822783,0.11747962,0.013327606,0.018819155,0,0.090598943
0.91382766,9.0708543,2.4628292,9.170617e-05,0.011606671,1.2245131,14.630074,5.9947796,0.01,0.035084669,0.040947477,0,0.30133869,0.55395216,0.1,0.18209283,0.11924586,0.014368261,0.020345712,0,0.097866813
0.95190381,9.0705544,2.462718,0.00010022914,0.011594476,1.223518,14.629172,6.0065448,0.01,0.037458567,0.044821528,0,0.30295736,0.5708364,0.1,0.18191424,0.12104312,0.015491345,0.021997474,0,0.10572505
0.98997996,9.0702304,2.4625979,0.00010941862,0.011582665,1.2224422,14.628198,6.0182397,0.01,0.040023187,0.049006776,0,0.30461593,0.58727071,0.1,0.18174337,0.12287257,0.016703321,0.023784578,0,0.11422106
1.0280561,9.0698804,2.4624681,0.00011932733,0.011571285,1.2212793,14.627146,6.0298589,0.01,0.042793999,0.053528466,0,0.30631656,0.60325678,0.1,0.1815811,0.12473546,0.018011135,0.025717946,0,0.12340591
1.0661323,9.0695022,2.4623279,0.00013001212,0.011560388,1.2200223,14.626009,6.0413967,0.01,0.04578771,0.058413859,0,0.30806159,0.61879664,0.1,0.18142841,0.12663318,0.019422258,0.027809346,0,0.13333457
1.1042084,9.0690937,2.4621765,0.00014153431,0.011550192,1.2186636,14.624781,6.0528468,0.01,0.049022363,0.063692402,0,0.30984269,0.63389264,0.1,0.1813938,0.12844889,0.020945975,0.030072561,0,0.14407156
1.1422846,9.0686523,2.4620128,0.0001539647,0.011551026,1.2171904,14.623452,6.0642023,0.01,0.052518303,0.069397238,0,0.31097834,0.64854758,0.1,0.18188895,0.12908939,0.022604081,0.032533157,0,0.15573761
1.1803607,9.0681753,2.4618359,0.00016738026,0.011559176,1.2155935,14.622015,6.0754554,0.01,0.056297637,0.075564379,0,0.3117238,0.66276467,0.1,0.18215479,0.12956901,0.024397102,0.035198365,0,0.1683655
1.2184369,9.0676596,2.4616448,0.00018186057,0.011569807,1.2138653,14.620461,6.0865983,0.01,0.060383632,0.082231771,0,0.3124095,0.67654761,0.1,0.18238486,0.13002463,0.026334317,0.038083553,0,0.18202686
1.256513,9.0671021,2.4614381,0.0001974911,0.011581903,1.2119957,14.618781,6.0976222,0.01,0.064801353,0.089440294,0,0.31311185,0.68990058,0.1,0.18262383,0.13048801,0.028426801,0.041206214,0,0.19680333
1.2945892,9.0664993,2.4612146,0.00021436394,0.011595311,1.2099737,14.616965,6.1085178,0.01,0.069577858,0.097234078,0,0.31385046,0.70282823,0.1,0.1828831,0.13096735,0.030686728,0.044585413,0,0.21278389
1.3326653,9.0658477,2.4609731,0.00023257845,0.011610077,1.2077872,14.615001,6.119275,0.01,0.074742362,0.10566078,0,0.3146324,0.7153357,0.1,0.18316673,0.13146567,0.033127257,0.048241714,0,0.23006454
