parameter,lower_bound_matlab,initial_guess_matlab,fitted_value_matlab,upper_bound_matlab,delta_from_initial_matlab,fractional_change_matlab,source_matlab,lower_bound_pytorch,initial_guess_pytorch,fitted_value_pytorch,upper_bound_pytorch,delta_from_initial_pytorch,fractional_change_pytorch,source_pytorch,fitted_difference,fractional_change_difference
DG_thresh,-50.0,-10.0,-10.0000021609522,0.0,-2.1609521834165e-06,-2.1609521834165e-07,MATLAB,-50.0,-10.0,-0.4839713509938921,0.0,9.516028649006108,0.9516028649006107,PyTorch,9.516030809958307,0.9516030809958291
H2S_sat,0.0,0.01,2.2204460492503102e-14,1.0,-0.0099999999999778,-0.99999999999778,MATLAB,0.0,0.01,0.0041018803212024,1.0,-0.0058981196787975,-0.5898119678797531,PyTorch,0.004101880321180196,0.4101880321180269
H2_thresh,0.0,0.01,0.12618298967552,1.0,0.11618298967552,11.618298967552,MATLAB,0.0,0.01,0.8943469589190328,1.0,0.8843469589190328,88.43469589190327,PyTorch,0.7681639692435128,76.81639692435127
KI_aceto,0.001,0.1,0.520849901927617,10.0,0.420849901927617,4.20849901927617,MATLAB,0.001,0.1,0.0269251584767595,10.0,-0.0730748415232404,-0.7307484152324046,PyTorch,-0.4939247434508575,-4.939247434508575
KI_meth,0.001,0.1,0.0022501174150043,10.0,-0.0977498825849956,-0.977498825849956,MATLAB,0.001,0.1,0.0299045579732596,10.0,-0.0700954420267403,-0.7009544202674036,PyTorch,0.0276544405582553,0.27654440558255233
KI_sulf,0.001,0.1,0.0030927676932484,10.0,-0.0969072323067516,-0.969072323067516,MATLAB,0.001,0.1,0.0015696156830069,10.0,-0.098430384316993,-0.9843038431699304,PyTorch,-0.0015231520102414998,-0.015231520102414353
Y_a,0.01,0.05,0.0500005282479015,0.5,5.28247901490642e-07,1.05649580298128e-05,MATLAB,0.01,0.05,0.3247758709870208,0.5,0.2747758709870208,5.495517419740416,PyTorch,0.2747753427391193,5.495506854782386
Y_m,0.01,0.05,0.05,0.5,0.0,0.0,MATLAB,0.01,0.05,0.0121539924419162,0.5,-0.0378460075580837,-0.7569201511616753,PyTorch,-0.0378460075580838,-0.7569201511616753
Y_s,0.01,0.05,0.05,0.5,0.0,0.0,MATLAB,0.01,0.05,0.3364111472936929,0.5,0.2864111472936929,5.728222945873858,PyTorch,0.28641114729369294,5.728222945873858
k_aceto,0.001,1.0,0.0043301966735385,10.0,-0.995669803326461,-0.995669803326461,MATLAB,0.001,1.0,0.0296202262870407,10.0,-0.9703797737129592,-0.9703797737129592,PyTorch,0.0252900296135022,0.025290029613501797
k_meth,0.001,1.0,0.873863579693393,10.0,-0.126136420306607,-0.126136420306607,MATLAB,0.001,1.0,0.1789644162691714,10.0,-0.8210355837308285,-0.8210355837308285,PyTorch,-0.6948991634242216,-0.6948991634242215
k_precip,0.0,0.01,0.749106179872584,1.0,0.739106179872584,73.9106179872584,MATLAB,0.0,0.01,0.2651936893469893,1.0,0.2551936893469893,25.51936893469893,PyTorch,-0.4839124905255947,-48.39124905255947
k_sulf,0.001,1.0,0.0262939113850306,10.0,-0.973706088614969,-0.973706088614969,MATLAB,0.001,1.0,0.122368920617026,10.0,-0.877631079382974,-0.877631079382974,PyTorch,0.09607500923199541,0.09607500923199497
