parameter,lower_bound,initial_guess,fitted_value,upper_bound,delta_from_initial,fractional_change
k_meth,0.001,1.0,0.17896441626917142,10.0,-0.8210355837308285,-0.8210355837308285
k_sulf,0.001,1.0,0.122368920617026,10.0,-0.877631079382974,-0.877631079382974
k_aceto,0.001,1.0,0.029620226287040707,10.0,-0.9703797737129592,-0.9703797737129592
Y_m,0.01,0.05,0.012153992441916233,0.5,-0.03784600755808377,-0.7569201511616753
Y_s,0.01,0.05,0.3364111472936929,0.5,0.28641114729369294,5.728222945873858
Y_a,0.01,0.05,0.3247758709870208,0.5,0.27477587098702083,5.495517419740416
KI_meth,0.001,0.1,0.029904557973259645,10.0,-0.07009544202674037,-0.7009544202674036
KI_sulf,0.001,0.1,0.001569615683006961,10.0,-0.09843038431699304,-0.9843038431699304
KI_aceto,0.001,0.1,0.026925158476759536,10.0,-0.07307484152324047,-0.7307484152324046
k_precip,0.0,0.01,0.26519368934698934,1.0,0.2551936893469893,25.51936893469893
H2S_sat,0.0,0.01,0.004101880321202469,1.0,-0.0058981196787975315,-0.5898119678797531
H2_thresh,0.0,0.01,0.8943469589190328,1.0,0.8843469589190328,88.43469589190327
DG_thresh,-50.0,-10.0,-0.48397135099389216,0.0,9.516028649006108,0.9516028649006107
