% Basalt 34 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)
  0.000000        9.212        2.229            0        0.001          0.1         0.01         0.01            0
  0.017293      9.14873      2.21719   0.00631734   0.00757625     0.134586    0.0101785     0.010918   0.00274599
  0.034586      9.08912      2.20546    0.0126314    0.0105086     0.169173    0.0131239    0.0117811   0.00545426
  0.051880      9.03061      2.19375    0.0189443    0.0115385     0.203759     0.017711    0.0126275    0.0081483
  0.069173      8.97245      2.18205    0.0252567    0.0119408     0.238346    0.0228445    0.0134685    0.0108368
  0.086466       8.9144      2.17036     0.031569    0.0121325     0.272932    0.0281617    0.0143076    0.0135225
  0.103759      8.85639      2.15866    0.0378812    0.0122534     0.307519    0.0335408    0.0151457    0.0162064
  0.121053      8.79839      2.14697    0.0441934    0.0123507     0.342105    0.0389405    0.0159834    0.0188888
  0.138346       8.7404      2.13528    0.0505055    0.0124406     0.376692    0.0443467    0.0168207    0.0215698
  0.155639      8.68241      2.12359    0.0568176    0.0125286     0.411278    0.0497545    0.0176576    0.0242493
  0.172932      8.62443       2.1119    0.0631296    0.0126168     0.445865    0.0551621    0.0184943    0.0269275
  0.190226      8.56644      2.10021    0.0694417    0.0127057     0.480451     0.060569    0.0193307    0.0296042
  0.207519      8.50846      2.08852    0.0757537    0.0127956     0.515038    0.0659751    0.0201667    0.0322795
  0.224812      8.45047      2.07683    0.0820656    0.0128867     0.549624      0.07138    0.0210025    0.0349533
  0.242105      8.39249      2.06515    0.0883775     0.012979     0.584211     0.076784    0.0218379    0.0376256
  0.259398      8.33451      2.05346    0.0946894    0.0130724     0.618797    0.0821868    0.0226731    0.0402963
  0.276692      8.27653      2.04178     0.101001    0.0131671     0.653383    0.0875885     0.023508    0.0429655
  0.293985      8.21855      2.03009     0.107313    0.0132631      0.68797    0.0929892    0.0243425     0.045633
  0.311278      8.16057      2.01841     0.113625    0.0133603     0.722556    0.0983887    0.0251767    0.0482989
  0.328571       8.1026      2.00673     0.119937    0.0134588     0.757143     0.103787    0.0260106     0.050963
  0.345865      8.04462      1.99505     0.126248    0.0135586     0.791729     0.109184    0.0268443    0.0536254
  0.363158      7.98665      1.98337      0.13256    0.0136597     0.826316      0.11458    0.0276775     0.056286
  0.380451      7.92869      1.97169     0.138872    0.0137621     0.860902     0.119975    0.0285105    0.0589447
