% Calcite 34 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  0.000000        9.302        2.196            0        0.001          0.1         0.01         0.01            0
  0.000000      9.30177      2.19595  5.01268e-05   0.00100768    0.0999923         0.01    0.0100029  9.01527e-08
  0.000000      9.30154       2.1959  0.000100033   0.00101536    0.0999846         0.01    0.0100058  1.80299e-07
  0.000001      9.30131      2.19585  0.000149721   0.00102304     0.099977         0.01    0.0100087  2.70437e-07
  0.000001      9.30108       2.1958  0.000199192   0.00103072    0.0999693         0.01    0.0100115  3.60569e-07
  0.000002      9.29995      2.19556  0.000443363   0.00106909    0.0999309         0.01    0.0100257  8.11126e-07
  0.000003      9.29884      2.19532  0.000682391   0.00110745    0.0998925         0.01    0.0100396  1.26151e-06
  0.000004      9.29774      2.19508  0.000916488   0.00114579    0.0998542         0.01    0.0100532  1.71174e-06
  0.000005      9.29667      2.19485   0.00114586    0.0011841    0.0998159         0.01    0.0100666   2.1618e-06
  0.000010      9.29157      2.19376   0.00222806    0.0013754    0.0996246         0.01    0.0101304  4.40976e-06
  0.000015      9.28684      2.19277   0.00321594   0.00156621    0.0994338         0.01    0.0101894  6.65403e-06
  0.000020      9.28244      2.19186   0.00412481   0.00175655    0.0992434    0.0100001    0.0102445   8.8949e-06
  0.000025       9.2783      2.19101   0.00496661   0.00194643    0.0990535    0.0100001    0.0102962  1.11326e-05
  0.000039      9.26815      2.18898   0.00698567   0.00246051    0.0985394    0.0100001    0.0104232  1.72034e-05
  0.000052      9.25923      2.18725   0.00869881    0.0029713    0.0980285    0.0100002    0.0105347  2.32549e-05
  0.000066      9.25121      2.18575    0.0101887   0.00347888    0.0975208    0.0100003    0.0106349  2.92895e-05
  0.000080      9.24389      2.18442    0.0115095   0.00398334    0.0970163    0.0100004    0.0107264  3.53086e-05
  0.000106      9.23124      2.18221    0.0136952   0.00494626    0.0960531    0.0100006    0.0108844  4.68626e-05
  0.000132      9.22004      2.18035    0.0155317   0.00589806     0.095101    0.0100009    0.0110245  5.83708e-05
  0.000159      9.20988      2.17874    0.0171189   0.00683903    0.0941598    0.0100012    0.0111514  6.98383e-05
  0.000185      9.20051      2.17732    0.0185207   0.00776938     0.093229    0.0100016    0.0112686  8.12686e-05
  0.000237      9.18354      2.17488    0.0209107   0.00959738    0.0914001    0.0100025    0.0114807  0.000104008
  0.000290      9.16833      2.17284    0.0229025    0.0113852    0.0896112    0.0100035    0.0116709  0.000126626
  0.000343      9.15438      2.17109    0.0246166    0.0131342    0.0878611    0.0100048    0.0118452  0.000149135
  0.000395       9.1414      2.16953    0.0261281    0.0148453    0.0861484    0.0100062    0.0120076  0.000171544
  0.000501       9.1175      2.16685    0.0287204    0.0181781    0.0828122    0.0100096    0.0123062  0.000216356
  0.000607      9.09589       2.1646    0.0308828    0.0213701    0.0796162    0.0100137    0.0125764  0.000260832
  0.000713      9.07599      2.16264      0.03275    0.0244283    0.0765534    0.0100184    0.0128251  0.000305004
  0.000819      9.05745       2.1609    0.0344046    0.0273593     0.073617    0.0100237    0.0130568  0.000348898
  0.001032      9.02333      2.15785    0.0372775     0.032917    0.0680468    0.0100362    0.0134834    0.0004368
  0.001246      8.99278      2.15525    0.0397043    0.0380251     0.062924    0.0100509    0.0138652  0.000523771
  0.001460      8.96508      2.15295    0.0418281    0.0427238    0.0582085    0.0100677    0.0142115  0.000609913
  0.001674      8.93973      2.15087    0.0437366    0.0470491    0.0538646    0.0100863    0.0145284  0.000695308
  0.002109       8.8941      2.14712    0.0471461    0.0548335    0.0460372    0.0101294    0.0150988  0.000867091
  0.002544      8.85499      2.14382    0.0501066    0.0614301    0.0393914    0.0101785    0.0155876    0.0010365
  0.002979      8.82109      2.14083    0.0527658    0.0670258    0.0337415    0.0102328    0.0160114   0.00120387
  0.003414      8.79135      2.13804    0.0552183    0.0717835    0.0289251    0.0102914    0.0163831    0.0013695
  0.003955      8.75906       2.1348    0.0580565    0.0767347    0.0238959    0.0103694    0.0167867   0.00157346
  0.004497      8.73108      2.13173    0.0607154    0.0807874    0.0197604    0.0104521    0.0171365   0.00177538
  0.005038      8.70658      2.12881    0.0632395    0.0841007    0.0163605    0.0105388    0.0174427   0.00197554
  0.005579      8.68487      2.12599    0.0656634    0.0868159    0.0135555    0.0106286    0.0177141   0.00217414
  0.006134      8.66494      2.12318    0.0680679    0.0890973    0.0111794    0.0107232    0.0179632   0.00237628
  0.006689      8.64697      2.12044    0.0704061    0.0909546    0.0092253    0.0108201    0.0181879   0.00257711
  0.007244      8.63061      2.11776    0.0726907    0.0924615   0.00761963    0.0109188    0.0183924   0.00277676
  0.007799      8.61555      2.11512    0.0749327    0.0936844   0.00629657     0.011019    0.0185806   0.00297534
  0.008364      8.60129      2.11246    0.0771831    0.0946947   0.00518289    0.0111224    0.0187588    0.0031768
  0.008930      8.58795      2.10984    0.0794029    0.0955053   0.00426795    0.0112267    0.0189256   0.00337729
  0.009496      8.57537      2.10725    0.0815971    0.0961509   0.00351723    0.0113319    0.0190828   0.00357687
  0.010061      8.56342      2.10468    0.0837699    0.0966626   0.00289971    0.0114377    0.0192323   0.00377558
  0.010633      8.55184       2.1021    0.0859482    0.0970701   0.00238483    0.0115451     0.019377   0.00397565
  0.011205      8.54071      2.09954    0.0881104     0.097385   0.00196202     0.011653    0.0195162   0.00417492
  0.011777      8.52993      2.09699    0.0902584    0.0976236   0.00161531    0.0117611    0.0196508    0.0043734
  0.012349      8.51946      2.09446    0.0923941    0.0978002   0.00133032    0.0118695    0.0197817   0.00457112
  0.012926      8.50916      2.09193    0.0945346    0.0979274   0.00109368    0.0119789    0.0199105   0.00476957
  0.013502      8.49907       2.0894    0.0966651    0.0980122  0.000899382    0.0120884    0.0200367   0.00496728
  0.014078      8.48916      2.08688    0.0987865     0.098062  0.000740105    0.0121979    0.0201605   0.00516427
  0.014654       8.4794      2.08438       0.1009    0.0980832   0.00060923    0.0123075    0.0202825   0.00536056
  0.015234      8.46971      2.08187     0.103017    0.0980815  0.000500765    0.0124178    0.0204037   0.00555726
  0.015813      8.46013      2.07937     0.105127    0.0980603  0.000411719     0.012528    0.0205234   0.00575327
  0.016393      8.45064      2.07687     0.107231    0.0980231  0.000338732    0.0126382     0.020642   0.00594859
  0.016972      8.44123      2.07439     0.109327    0.0979729   0.00027877    0.0127483    0.0207596   0.00614323
  0.017615      8.43088      2.07164     0.111647    0.0979051  0.000224454    0.0128704     0.020889   0.00635842
  0.018258       8.4206       2.0689     0.113959    0.0978267  0.000180779    0.0129925    0.0210176   0.00657279
  0.018901      8.41038      2.06616     0.116265    0.0977398  0.000145759    0.0131144    0.0211453   0.00678635
  0.019544      8.40022      2.06344     0.118563    0.0976462  0.000117576    0.0132363    0.0212722    0.0069991
  0.020295      8.38842      2.06027     0.121239    0.0975303  9.13501e-05    0.0133784    0.0214197   0.00724658
  0.021046      8.37668      2.05711     0.123907    0.0974086  7.10043e-05    0.0135204    0.0215665   0.00749299
  0.021797        8.365      2.05396     0.126566    0.0972825  5.53238e-05    0.0136622    0.0217125   0.00773832
  0.022549      8.35337      2.05082     0.129217    0.0971531  4.31476e-05    0.0138038    0.0218578   0.00798258
  0.023437      8.33968      2.04712     0.132342    0.0969972  3.18162e-05     0.013971     0.022029   0.00827017
  0.024325      8.32604      2.04343     0.135456    0.0968382   2.3784e-05     0.014138    0.0221994    0.0085563
  0.025214      8.31247      2.03976     0.138559    0.0966766  1.86567e-05    0.0143047    0.0223691   0.00884096
  0.026102      8.29896       2.0361     0.141651    0.0965141  1.46832e-05    0.0144712     0.022538   0.00912418
  0.027254      8.28151      2.03138     0.145643     0.096304  9.48953e-06    0.0146866    0.0227561   0.00948923
  0.028406      8.26415      2.02668     0.149616     0.096092  6.54051e-06    0.0149014    0.0229731   0.00985188
  0.029558      8.24689        2.022     0.153572    0.0958781  6.01125e-06    0.0151159    0.0231889    0.0102122
  0.030710       8.2297      2.01735      0.15751    0.0956647  5.44574e-06    0.0153298    0.0234038    0.0105701
  0.031985      8.21077      2.01223     0.161848    0.0954305  3.48978e-06     0.015566    0.0236404    0.0109635
  0.033259      8.19194      2.00713     0.166164    0.0951961  2.27691e-06    0.0158016    0.0238758     0.011354
  0.034534      8.17321      2.00206     0.170458    0.0949617  1.69671e-06    0.0160366    0.0241099    0.0117418
  0.035808      8.15457      1.99701     0.174732    0.0947276  1.30001e-06    0.0162711    0.0243429    0.0121268
  0.038031      8.12229      1.98828     0.182136    0.0943209  4.77952e-07    0.0166786    0.0247463    0.0127917
  0.040254       8.0903      1.97963     0.189477    0.0939159 -2.28196e-07    0.0170843    0.0251463    0.0134484
  0.042477      8.05858      1.97105     0.196757    0.0935126 -9.31127e-07    0.0174883    0.0255428    0.0140971
  0.044700      8.02713      1.96255     0.203977    0.0931111 -1.65132e-06    0.0178906    0.0259358    0.0147378
  0.051684      7.93006      1.93632     0.226279    0.0918607 -3.87705e-06    0.0191432    0.0271492     0.016701
  0.058668      7.83552       1.9108     0.248022     0.090627 -6.07688e-06     0.020379     0.028331    0.0185914
  0.065652      7.74339      1.88594     0.269231      0.08941 -8.25147e-06    0.0215983    0.0294826    0.0204125
  0.072636      7.65357      1.86173      0.28993    0.0882093 -1.04014e-05    0.0228011    0.0306054    0.0221679
  0.107556      7.23549      1.74933      0.38654    0.0824434 -2.08033e-05    0.0285774    0.0358313    0.0300665
  0.142476      6.86233       1.6494     0.473168    0.0770545 -3.06693e-05    0.0339762    0.0404959    0.0367181
  0.177395      6.52618      1.55972     0.551544    0.0720181 -4.00531e-05    0.0390219    0.0446977    0.0423695
  0.212315      6.22063      1.47849     0.623079    0.0673111 -4.90008e-05    0.0437379    0.0485171    0.0472142
  0.261277      5.83475      1.37633     0.713837    0.0612248 -6.08849e-05    0.0498361    0.0533407    0.0529154
  0.310239      5.49044      1.28559     0.795226    0.0556892 -7.20692e-05    0.0553828    0.0576444     0.057591
  0.359200      5.18043      1.20423     0.868851    0.0506549 -8.26234e-05    0.0604277    0.0615196    0.0614585
  0.408162      4.89883      1.13061     0.936013     0.046076 -9.26078e-05    0.0650166    0.0650396    0.0646862
  0.482588      4.51582      1.03093       1.0278    0.0398948 -0.000106803     0.071212    0.0698272    0.0686347
  0.557014      4.17782     0.943387      1.10924    0.0345439 -0.000119934     0.076576    0.0740523    0.0716872
  0.631440      3.87639      0.86566       1.1822    0.0299137  -0.00013212    0.0812185    0.0778201    0.0740692
  0.705866      3.60542     0.796051      1.24806     0.025905 -0.000143457    0.0852384    0.0812073    0.0759463
  0.781735       3.3562     0.732247      1.30884    0.0223696  -0.00015422    0.0887847    0.0843225    0.0774572
  0.857605      3.13027      0.67458      1.36411    0.0193175 -0.000164258    0.0918467    0.0871466    0.0786527
  0.933475      2.92435     0.622158      1.41463    0.0166839 -0.000173642    0.0944897    0.0897206    0.0796039
  1.009344      2.73606     0.574335      1.46094    0.0144102 -0.000182422    0.0967723    0.0920742    0.0803635
  1.085214      2.56377     0.530663       1.5034    0.0124456 -0.000190643    0.0987451    0.0942278    0.0809703
  1.161083      2.40572     0.490671      1.54241    0.0107495 -0.000198357     0.100449    0.0962035    0.0814569
  1.236953      2.26033     0.453939      1.57836   0.00928589 -0.000205607      0.10192    0.0980209    0.0818487
  1.312822      2.12639     0.420146      1.61152   0.00802216 -0.000212427      0.10319    0.0996951    0.0821647
  1.400660      1.98467     0.384431      1.64666   0.00677176 -0.000219821     0.104448     0.101467    0.0824549
  1.488499      1.85592     0.352023      1.67861     0.005717 -0.000226731      0.10551     0.103076    0.0826821
  1.576337      1.73865     0.322535      1.70774   0.00482804 -0.000233209     0.106405     0.104542    0.0828611
  1.664175      1.63166     0.295652      1.73434     0.004078 -0.000239285     0.107161     0.105879    0.0830024
  1.749589      1.53681     0.271836      1.75794   0.00346028 -0.000244835     0.107785     0.107065     0.083111
  1.835003      1.45041     0.250156      1.77945   0.00293668 -0.000250068     0.108313     0.108145    0.0831976
  1.920417      1.37167     0.230406      1.79906   0.00249317 -0.000255016     0.108762     0.109129     0.083267
  2.005831      1.29987     0.212404      1.81695   0.00211714 -0.000259702     0.109143     0.110027     0.083323
  2.098200      1.22947      0.19476       1.8345   0.00177407 -0.000264495      0.10949     0.110907    0.0833713
  2.190569      1.16604      0.17887      1.85031    0.0014871 -0.000269036     0.109782     0.111699    0.0834098
  2.282938      1.10891     0.164559      1.86456   0.00124734 -0.000273351     0.110026     0.112414    0.0834408
  2.375307      1.05741     0.151664       1.8774   0.00104673 -0.000277461     0.110231     0.113057    0.0834658
  2.476400      1.00694     0.139029         1.89   0.00086408 -0.000281745     0.110418     0.113688    0.0834878
  2.577493     0.962083     0.127801      1.90119  0.000713826 -0.000285832     0.110572     0.114249    0.0835055
  2.678586     0.922212     0.117823      1.91114  0.000590441 -0.000289744     0.110699     0.114747    0.0835199
  2.779679     0.886741     0.108947      1.91999  0.000488899   -0.0002935     0.110805     0.115191    0.0835316
  2.881616     0.854938      0.10099      1.92793  0.000404417 -0.000297146     0.110893     0.115588    0.0835414
  2.983554     0.826681    0.0939214      1.93498  0.000335005 -0.000300667     0.110966     0.115941    0.0835495
  3.085492     0.801535    0.0876315      1.94126  0.000278075 -0.000304076     0.111026     0.116256    0.0835564
  3.187430     0.779124    0.0820262      1.94685  0.000231277 -0.000307386     0.111076     0.116536    0.0835622
  3.305567     0.756144    0.0762792      1.95259  0.000187156 -0.000311111     0.111124     0.116823    0.0835678
  3.423705     0.735932    0.0712251      1.95763  0.000152003 -0.000314731     0.111163     0.117076    0.0835726
  3.541843     0.718083    0.0667623      1.96208  0.000124104  -0.00031826     0.111194     0.117299    0.0835767
  3.659980     0.702263    0.0628073      1.96603  0.000101856 -0.000321707      0.11122     0.117497    0.0835802
  3.797113     0.686077    0.0587611      1.97007  8.14176e-05 -0.000325618     0.111244     0.117699    0.0835837
  3.934247     0.671862    0.0552082      1.97362  6.57006e-05 -0.000329443     0.111264     0.117877    0.0835868
  4.071380       0.6593    0.0520688      1.97675  5.37163e-05 -0.000333193     0.111279     0.118034    0.0835894
  4.208513     0.648139    0.0492798      1.97954  4.44855e-05 -0.000336876     0.111292     0.118173    0.0835917
  4.371443     0.636417    0.0463514      1.98246  3.60396e-05 -0.000341176     0.111305      0.11832    0.0835941
  4.534373     0.626091    0.0437721      1.98504  2.98385e-05 -0.000345401     0.111316     0.118449    0.0835962
  4.697302     0.616926    0.0414832      1.98732   2.5382e-05 -0.000349562     0.111324     0.118563     0.083598
  4.860232      0.60874     0.039439      1.98936  2.20979e-05 -0.000353665     0.111332     0.118666    0.0835997
  5.032732     0.600979    0.0375014       1.9913  1.94261e-05 -0.000357952     0.111339     0.118763    0.0836012
  5.205232     0.594006     0.035761      1.99303  1.74773e-05 -0.000362187     0.111345      0.11885    0.0836026
  5.377732     0.587704    0.0341885       1.9946  1.60908e-05 -0.000366375      0.11135     0.118929    0.0836038
  5.550232     0.581978    0.0327601      1.99603  1.50686e-05 -0.000370521     0.111355        0.119     0.083605
  5.722732     0.576753    0.0314568      1.99733  1.42652e-05 -0.000374627      0.11136     0.119066     0.083606
  5.895232     0.571962    0.0302623      1.99852  1.36623e-05 -0.000378699     0.111365     0.119125    0.0836069
  6.067732     0.567552    0.0291629      1.99962   1.3216e-05 -0.000382737      0.11137     0.119181    0.0836078
  6.240232     0.563477    0.0281475      2.00064  1.28728e-05 -0.000386746     0.111374     0.119232    0.0836086
