parameter,lower_bound_matlab,initial_guess_matlab,fitted_value_matlab,upper_bound_matlab,delta_from_initial_matlab,fractional_change_matlab,source_matlab,lower_bound_pytorch,initial_guess_pytorch,fitted_value_pytorch,upper_bound_pytorch,delta_from_initial_pytorch,fractional_change_pytorch,source_pytorch,fitted_difference,fractional_change_difference
DG_thresh,-50.0,-10.0,-10.0000021609522,0.0,-2.1609521834165e-06,-2.1609521834165e-07,MATLAB,-50.0,-10.0,-0.4839713509938921,0.0,9.516028649006108,0.9516028649006107,PyTorch,9.516030809958307,0.9516030809958291
H2S_sat,0.0,0.01,2.2204460492503102e-14,1.0,-0.0099999999999778,-0.99999999999778,MATLAB,0.0,0.01,0.0041018803212009,1.0,-0.005898119678799,-0.5898119678799036,PyTorch,0.004101880321178695,0.41018803211787636
H2_thresh,0.0,0.01,0.12618298967552,1.0,0.11618298967552,11.618298967552,MATLAB,0.0,0.01,0.8943469589190313,1.0,0.8843469589190313,88.43469589190312,PyTorch,0.7681639692435113,76.81639692435112
KI_aceto,0.001,0.1,0.520849901927617,10.0,0.420849901927617,4.20849901927617,MATLAB,0.001,0.1,0.0269251564800747,10.0,-0.0730748435199252,-0.7307484351992521,PyTorch,-0.49392474544754233,-4.939247454475422
KI_meth,0.001,0.1,0.0022501174150043,10.0,-0.0977498825849956,-0.977498825849956,MATLAB,0.001,0.1,0.0299045579704283,10.0,-0.0700954420295716,-0.700954420295716,PyTorch,0.027654440555423997,0.27654440555424
KI_sulf,0.001,0.1,0.0030927676932484,10.0,-0.0969072323067516,-0.969072323067516,MATLAB,0.001,0.1,0.0015696152495575,10.0,-0.0984303847504424,-0.9843038475044248,PyTorch,-0.0015231524436908998,-0.015231524436908783
Y_a,0.01,0.05,0.0500005282479015,0.5,5.28247901490642e-07,1.05649580298128e-05,MATLAB,0.01,0.05,0.3247758709870207,0.5,0.2747758709870208,5.495517419740415,PyTorch,0.2747753427391192,5.495506854782385
Y_m,0.01,0.05,0.05,0.5,0.0,0.0,MATLAB,0.01,0.05,0.0121539924419162,0.5,-0.0378460075580837,-0.7569201511616754,PyTorch,-0.0378460075580838,-0.7569201511616754
Y_s,0.01,0.05,0.05,0.5,0.0,0.0,MATLAB,0.01,0.05,0.3364111472936929,0.5,0.2864111472936929,5.728222945873858,PyTorch,0.28641114729369294,5.728222945873858
k_aceto,0.001,1.0,0.0043301966735385,10.0,-0.995669803326461,-0.995669803326461,MATLAB,0.001,1.0,0.029620222608874,10.0,-0.970379777391126,-0.970379777391126,PyTorch,0.0252900259353355,0.025290025935335025
k_meth,0.001,1.0,0.873863579693393,10.0,-0.126136420306607,-0.126136420306607,MATLAB,0.001,1.0,0.1789644162686109,10.0,-0.8210355837313891,-0.8210355837313891,PyTorch,-0.6948991634247821,-0.6948991634247821
k_precip,0.0,0.01,0.749106179872584,1.0,0.739106179872584,73.9106179872584,MATLAB,0.0,0.01,0.2651936893469799,1.0,0.2551936893469799,25.51936893469799,PyTorch,-0.4839124905256041,-48.39124905256041
k_sulf,0.001,1.0,0.0262939113850306,10.0,-0.973706088614969,-0.973706088614969,MATLAB,0.001,1.0,0.1223689206170268,10.0,-0.8776310793829731,-0.8776310793829731,PyTorch,0.09607500923199619,0.09607500923199586
