% Calcite 25 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  0.000000        8.988        2.436            0        0.001          0.1         0.01         0.01            0
  0.000001      8.98776      2.43595  5.00048e-05   0.00101021    0.0999898         0.01     0.010003  5.91613e-07
  0.000002      8.98752       2.4359  9.95495e-05   0.00102042    0.0999796         0.01    0.0100061  1.18318e-06
  0.000003      8.98728      2.43585  0.000148643   0.00103063    0.0999694         0.01    0.0100091   1.7747e-06
  0.000004      8.98704       2.4358  0.000197292   0.00104083    0.0999592         0.01     0.010012  2.36619e-06
  0.000010      8.98587      2.43556   0.00043416   0.00109184    0.0999082         0.01    0.0100266  5.32294e-06
  0.000015      8.98475      2.43532  0.000661049   0.00114282    0.0998572         0.01    0.0100406  8.27865e-06
  0.000021      8.98366       2.4351   0.00087877   0.00119376    0.0998062         0.01    0.0100542  1.12333e-05
  0.000026      8.98261      2.43488   0.00108804   0.00124466    0.0997553         0.01    0.0100673  1.41871e-05
  0.000052      8.97809      2.43397   0.00196916   0.00148143    0.0995185         0.01    0.0101239  2.79386e-05
  0.000078      8.97406      2.43319   0.00272571   0.00171747    0.0992825    0.0100001    0.0101742   4.1672e-05
  0.000103      8.97041       2.4325    0.0033892    0.0019528    0.0990471    0.0100001    0.0102199  5.53893e-05
  0.000129      8.96705      2.43188    0.0039809   0.00218743    0.0988125    0.0100001    0.0102619  6.90918e-05
  0.000178      8.96119      2.43084    0.0049687    0.0026386    0.0983612    0.0100002    0.0103351  9.55155e-05
  0.000228      8.95595      2.42995   0.00580344   0.00308726    0.0979125    0.0100003    0.0104006  0.000121895
  0.000277      8.95116      2.42918   0.00652734   0.00353344    0.0974662    0.0100003    0.0104605  0.000148234
  0.000327      8.94672      2.42848   0.00716785    0.0039772    0.0970224    0.0100004     0.010516  0.000174536
  0.000425      8.93865      2.42729   0.00825756    0.0048533     0.096146    0.0100007    0.0106169  0.000226787
  0.000523      8.93133      2.42628    0.0091666   0.00572009     0.095279    0.0100009    0.0107083  0.000278918
  0.000622      8.92457      2.42539   0.00994833   0.00657776     0.094421    0.0100013    0.0107929  0.000330939
  0.000720      8.91821       2.4246    0.0106364   0.00742645    0.0935719    0.0100016    0.0108724   0.00038286
  0.000918      8.90639      2.42322    0.0118094   0.00910284    0.0918946    0.0100025    0.0110201  0.000486753
  0.001115      8.89552      2.42204    0.0127825    0.0107448    0.0902517    0.0100036    0.0111561    0.0005903
  0.001313      8.88532        2.421    0.0136172    0.0123532     0.088642    0.0100048    0.0112834  0.000693528
  0.001510      8.87567      2.42006    0.0143518     0.013929    0.0870648    0.0100062    0.0114042  0.000796456
  0.001911      8.85734      2.41837    0.0156191    0.0170327    0.0839578    0.0100095    0.0116333   0.00100465
  0.002312      8.84036       2.4169     0.016672    0.0200119    0.0809746    0.0100135    0.0118455   0.00121177
  0.002713      8.82445      2.41559    0.0175785    0.0228728    0.0781091    0.0100181    0.0120444   0.00141791
  0.003115      8.80941      2.41437    0.0183802     0.025621    0.0753557    0.0100233    0.0122324   0.00162312
  0.003932      8.78102      2.41214     0.019779    0.0308921    0.0700721    0.0100357    0.0125873    0.0020385
  0.004749      8.75514      2.41014    0.0209558    0.0357573    0.0651924    0.0100504    0.0129107   0.00245062
  0.005566      8.73135       2.4083    0.0219826    0.0402521    0.0606809     0.010067    0.0132081   0.00285975
  0.006383      8.70935      2.40656    0.0229029    0.0444088    0.0565056    0.0100856    0.0134832   0.00326616
  0.008050      8.66911      2.40328    0.0245451    0.0519598    0.0489114    0.0101287    0.0139861   0.00408777
  0.009717      8.63413      2.40023    0.0259648    0.0584236    0.0423983    0.0101781    0.0144233   0.00490028
  0.011384      8.60344      2.39735    0.0272354     0.063967    0.0368001    0.0102329     0.014807   0.00570481
  0.013051      8.57627      2.39459    0.0284032    0.0687339    0.0319737    0.0102923    0.0151466   0.00650234
  0.015293       8.5443      2.39102    0.0298539    0.0741267    0.0264951    0.0103783    0.0155462     0.007565
  0.017534      8.51667      2.38756    0.0312018    0.0785435    0.0219864    0.0104701    0.0158917    0.0086178
  0.019776      8.49255       2.3842    0.0324734    0.0821598    0.0182734    0.0105668    0.0161931   0.00966191
  0.022017      8.47126      2.38091     0.033689      0.08513    0.0152025    0.0106674    0.0164592    0.0106983
  0.024341      8.45159      2.37756    0.0349042    0.0876587    0.0125662    0.0107752    0.0167052    0.0117656
  0.026665      8.43395      2.37427    0.0360819     0.089719    0.0103953    0.0108857    0.0169256    0.0128262
  0.028989      8.41799      2.37101    0.0372296    0.0913928   0.00860855    0.0109987    0.0171251    0.0138805
  0.031313       8.4034      2.36779    0.0383533    0.0927532   0.00713333    0.0111135    0.0173075    0.0149291
  0.033706      8.38954       2.3645    0.0394903     0.093889   0.00587781    0.0112332    0.0174808    0.0160033
  0.036099      8.37665      2.36125      0.04061    0.0947999   0.00484572    0.0113543    0.0176418    0.0170721
  0.038492      8.36459      2.35801    0.0417152    0.0955253   0.00399821    0.0114765    0.0177926    0.0181359
  0.040885      8.35319       2.3548    0.0428085    0.0961002   0.00330038    0.0115995    0.0179351    0.0191949
  0.043315      8.34217      2.35156    0.0439083    0.0965593   0.00271564     0.011725    0.0180729    0.0202656
  0.045744      8.33162      2.34834    0.0449992    0.0969136    0.0022353    0.0118511    0.0182048    0.0213317
  0.048174      8.32146      2.34513    0.0460821    0.0971812   0.00184126    0.0119776    0.0183317    0.0223934
  0.050604      8.31163      2.34194    0.0471583    0.0973784   0.00151722    0.0121044    0.0184546    0.0234507
  0.053057      8.30198      2.33873    0.0482384    0.0975199   0.00124756    0.0122325    0.0185752    0.0245136
  0.055509      8.29256      2.33554     0.049313     0.097613   0.00102612    0.0123609     0.018693    0.0255723
  0.057962      8.28334      2.33236    0.0503826    0.0976661  0.000844556    0.0124893    0.0188082    0.0266269
  0.060414      8.27428       2.3292    0.0514478    0.0976869  0.000695335    0.0126178    0.0189215    0.0276775
  0.062882       8.2653      2.32602    0.0525155    0.0976814  0.000571568    0.0127471    0.0190337    0.0287306
  0.065350      8.25644      2.32286    0.0535794    0.0976537   0.00046995    0.0128764    0.0191445    0.0297797
  0.067818      8.24769      2.31971    0.0546396    0.0976078   0.00038665    0.0130056    0.0192539    0.0308249
  0.070286      8.23902      2.31657    0.0556964     0.097547  0.000318208    0.0131347    0.0193622    0.0318662
  0.072953      8.22974      2.31319    0.0568348    0.0974681  0.000257668    0.0132742    0.0194782    0.0329871
  0.075620      8.22054      2.30982    0.0579696    0.0973777  0.000208704    0.0134136    0.0195932    0.0341036
  0.078287      8.21141      2.30647     0.059101     0.097278    0.0001692    0.0135528    0.0197074    0.0352156
  0.080955      8.20234      2.30312     0.060229    0.0971709  0.000137225    0.0136919    0.0198207    0.0363233
  0.084074       8.1918      2.29923     0.061544    0.0970384  0.000107281    0.0138543    0.0199525    0.0376131
  0.087193      8.18133      2.29535    0.0628548    0.0968996  8.39031e-05    0.0140165    0.0200834     0.038897
  0.090312      8.17092      2.29149    0.0641614    0.0967557  6.57556e-05    0.0141785    0.0202135     0.040175
  0.093431      8.16056      2.28764    0.0654638    0.0966082  5.15747e-05    0.0143402     0.020343    0.0414472
  0.097103      8.14844      2.28313    0.0669919    0.0964312   3.8512e-05    0.0145303    0.0204945    0.0429374
  0.100774      8.13638      2.27865    0.0685145     0.096251  2.89979e-05      0.01472    0.0206453    0.0444197
  0.104446      8.12439      2.27418    0.0700317    0.0960682  2.24271e-05    0.0149094    0.0207952    0.0458941
  0.108118      8.11245      2.26973    0.0715437    0.0958842  1.73759e-05    0.0150984    0.0209444    0.0473607
  0.113539      8.09493      2.26321    0.0737663    0.0956125  1.07184e-05    0.0153767    0.0211634    0.0495119
  0.118959      8.07753      2.25673    0.0759776    0.0953387  7.02643e-06    0.0156543    0.0213809    0.0516465
  0.124380      8.06026      2.25029     0.078178    0.0950625  6.37747e-06    0.0159311    0.0215968    0.0537646
  0.129801      8.04309       2.2439    0.0803674    0.0947872   5.7457e-06    0.0162071    0.0218114    0.0558664
  0.135594      8.02485      2.23711    0.0826953    0.0944953  3.57272e-06    0.0165011    0.0220393     0.058095
  0.141387      8.00674      2.23038    0.0850111    0.0942035   2.2443e-06    0.0167943    0.0222657    0.0603054
  0.147181      7.98876      2.22369    0.0873148    0.0939119  1.60215e-06    0.0170865    0.0224906    0.0624979
