% Gypsum 40 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)
  0.000000        9.023        2.576        0.001        0.001            0         0.01         0.01            0
  0.027820      8.89659      2.52515   0.00176085   0.00680043    0.0151743         0.01    0.0116398    0.0221837
  0.055639      8.77795      2.47819   0.00252155    0.0125969    0.0303486         0.01    0.0131814    0.0378614
  0.083459      8.66495      2.43403    0.0032821    0.0183896    0.0455229         0.01    0.0146517      0.04891
  0.111278      8.55622      2.39201   0.00404252    0.0241784    0.0606972         0.01    0.0160677    0.0566279
  0.139098      8.45089      2.35167    0.0048028    0.0299633    0.0758715         0.01    0.0174405    0.0619331
  0.166917      8.34832      2.31271   0.00556295    0.0357445    0.0910458         0.01     0.018778     0.065483
  0.194737      8.24808      2.27491   0.00632295    0.0415219      0.10622         0.01    0.0200855    0.0677528
  0.222556      8.14987      2.23811   0.00708282    0.0472956     0.121394         0.01     0.021367     0.069088
  0.250376      8.05345       2.2022   0.00784256    0.0530655     0.136569         0.01    0.0226253    0.0697404
  0.278195      7.95866      2.16709   0.00860215    0.0588318     0.151743         0.01    0.0238625    0.0698943
  0.306015      7.86537      2.13274    0.0093616    0.0645943     0.166917         0.01    0.0250802    0.0696847
  0.333835       7.7735      2.09908    0.0101209    0.0703531     0.182092         0.01    0.0262794    0.0692106
  0.361654      7.68297      2.06608    0.0108801    0.0761082     0.197266         0.01    0.0274612    0.0685445
  0.389474      7.59374      2.03373    0.0116391    0.0818597      0.21244         0.01    0.0286262    0.0677396
  0.417293      7.50575      2.00199     0.012398    0.0876074     0.227614         0.01    0.0297748    0.0668351
  0.445113      7.41898      1.97085    0.0131567    0.0933516     0.242789         0.01    0.0309076    0.0658596
  0.472932       7.3334       1.9403    0.0139153    0.0990921     0.257963         0.01    0.0320248    0.0648344
  0.500752      7.24899      1.91033    0.0146738     0.104829     0.273137         0.01    0.0331268    0.0637749
  0.528571      7.16573      1.88092    0.0154321     0.110562     0.288312         0.01    0.0342137    0.0626928
  0.556391       7.0836      1.85207    0.0161902     0.116292     0.303486         0.01    0.0352859    0.0615965
  0.584211      7.00259      1.82378    0.0169482     0.122014      0.31866     0.010004    0.0363434    0.0604924
  0.612030      6.92269      1.79603     0.017706     0.127679     0.333835     0.010061    0.0373865    0.0593855
  0.639850      6.84388      1.76882    0.0184637     0.133275     0.349009    0.0101844    0.0384153    0.0582794
  0.667669      6.76614      1.74214    0.0192212     0.138801     0.364183    0.0103732    0.0394301    0.0571773
  0.695489      6.68946      1.71598    0.0199786      0.14426     0.379357     0.010626    0.0404311    0.0560812
  0.723308      6.61383      1.69034    0.0207358     0.149653     0.394532    0.0109415    0.0414183     0.054993
  0.751128      6.53923      1.66521    0.0214929     0.154981     0.409706    0.0113187    0.0423921    0.0539139
  0.778947      6.46566      1.64058    0.0222497     0.160245      0.42488    0.0117564    0.0433525    0.0528451
  0.806767      6.39309      1.61645    0.0230065     0.165446     0.440055    0.0122533    0.0442998    0.0517874
  0.834586      6.32151      1.59281     0.023763     0.170586     0.455229    0.0128083    0.0452342    0.0507414
  0.862406      6.25091      1.56964    0.0245194     0.175666     0.470403    0.0134204    0.0461557    0.0497079
  0.890226      6.18127      1.54696    0.0252756     0.180686     0.485578    0.0140885    0.0470647    0.0486873
  0.918045      6.11258      1.52474    0.0260317     0.185649     0.500752    0.0148114    0.0479613    0.0476799
  0.945865      6.04482      1.50298    0.0267876     0.190554     0.515926    0.0155881    0.0488457    0.0466862
  0.973684      5.97798      1.48168    0.0275433     0.195403       0.5311    0.0164177    0.0497181    0.0457065
  1.001504      5.91205      1.46082    0.0282988     0.200198     0.546275     0.017299    0.0505787    0.0447409
  1.029323      5.84701       1.4404    0.0290542     0.204938     0.561449    0.0182311    0.0514276    0.0437897
  1.057143      5.78284      1.42041    0.0298094     0.209626     0.576623     0.019213    0.0522651     0.042853
  1.084962      5.71953      1.40084    0.0305644     0.214262     0.591798    0.0202438    0.0530914     0.041931
  1.112782      5.65708      1.38169    0.0313192     0.218847     0.695155    0.0213223    0.0539065    0.0410224
  1.140602      5.59549      1.36298    0.0320739     0.223383     0.902256    0.0224463    0.0547102    0.0401189
  1.168421      5.53477      1.34469    0.0328284     0.227873      1.10936    0.0236146    0.0555027    0.0392226
  1.196241      5.47489      1.32681    0.0335827     0.232316      1.31646    0.0248262    0.0562842    0.0383363
