% Basalt 25 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)
  0.000000        9.074        2.464            0        0.001            0         0.01         0.01            0
  0.047619      8.67786      2.37995   0.00241037    0.0568043            0         0.01    0.0155451    0.0403888
  0.095238      8.44523      2.29917   0.00383174     0.073861            0         0.01    0.0186357    0.0788068
  0.142857      8.24014      2.22039   0.00503456    0.0851435            0         0.01    0.0213172     0.115539
  0.190476      8.05043      2.14347    0.0061232    0.0935674            0         0.01    0.0237731     0.150639
  0.238095      7.87171      2.06844   0.00713999     0.100223            0         0.01    0.0260702     0.184108
  0.285714      7.70192      1.99538   0.00810727     0.105657            0         0.01    0.0282404     0.215926
  0.333333      7.53997      1.92441   0.00903855     0.110193            0         0.01    0.0303009     0.246063
  0.380952      7.38527      1.85565   0.00994277     0.114038            0         0.01    0.0322614     0.274487
  0.428571      7.23748      1.78924    0.0108262     0.117337            0         0.01    0.0341279      0.30117
  0.476190      7.09638      1.72527    0.0116935     0.120195            0         0.01    0.0359041      0.32609
  0.523810      6.96185      1.66385    0.0125481     0.122691            0         0.01    0.0375928     0.349237
  0.571429      6.83376      1.60504    0.0133928     0.124885            0         0.01    0.0391962     0.370614
  0.619048        6.712      1.54888    0.0142297     0.126826            0         0.01    0.0407162     0.390236
  0.666667      6.59644      1.49538    0.0150606     0.128552            0         0.01    0.0421552     0.408135
  0.714286       6.4869      1.44453    0.0158871     0.130095            0         0.01    0.0435156     0.424353
  0.761905       6.3832      1.39627    0.0167102     0.131482            0         0.01    0.0448002     0.438948
  0.809524      6.28511      1.35055    0.0175311     0.132733            0         0.01    0.0460119     0.451984
  0.857143       6.1924      1.30728    0.0183506     0.133866            0         0.01    0.0471541     0.463536
  0.904762      6.10482      1.26637    0.0191695     0.134897            0         0.01    0.0482302     0.473681
  0.952381      6.02208      1.22771    0.0199886     0.135839            0         0.01    0.0492437     0.482501
  1.000000      5.94394      1.19118    0.0208084     0.136701            0         0.01    0.0501982     0.490081
  1.047619       5.8701      1.15667    0.0216295     0.137494            0         0.01    0.0510973     0.496503
  1.095238      5.80032      1.12406    0.0224523     0.138226            0         0.01    0.0519443     0.501848
  1.142857      5.56642       1.0944    0.0231815     0.181504    0.0131868         0.01    0.0552644     0.505669
  1.190476      5.36031      1.06854    0.0237605     0.219812    0.0278388         0.01    0.0581814     0.507604
  1.238095      5.18323      1.04563    0.0242555     0.252381    0.0424908         0.01    0.0606738      0.50808
  1.285714      5.02607      1.02513    0.0246952     0.281201    0.0571429         0.01    0.0628764     0.507382
  1.333333      4.88383      1.00666    0.0250948     0.307323    0.0717949         0.01    0.0648628     0.505718
  1.380952      4.75335     0.989909    0.0254636     0.331385    0.0864469         0.01    0.0666791     0.503249
  1.428571      4.63248     0.974656    0.0258078     0.353804     0.101099         0.01    0.0683568     0.500105
  1.476190      4.51965      0.96071    0.0261317     0.374877     0.115751         0.01    0.0699185     0.496389
  1.523810      4.41369     0.947915    0.0264386     0.394816     0.130403         0.01    0.0713813      0.49219
  1.571429      4.31367     0.936142    0.0267309     0.413788     0.145055         0.01    0.0727584     0.487581
  1.619048      4.21887     0.925281    0.0270104     0.431917     0.159707         0.01    0.0740604     0.482624
  1.666667      4.12868     0.915235    0.0272787     0.449307     0.174359         0.01    0.0752959     0.477372
  1.714286      4.04261     0.905925    0.0275371     0.466041     0.189011         0.01     0.076472     0.471871
  1.761905      3.96025      0.89728    0.0277865     0.482185     0.203663         0.01    0.0775946     0.466161
  1.809524      3.88123     0.889238    0.0280278     0.497798     0.218315         0.01    0.0786689     0.460276
  1.857143      3.80525     0.881745    0.0282618     0.512928     0.232967         0.01    0.0796991     0.454246
  1.904762      3.73206     0.874752     0.028489     0.527616     0.247619         0.01    0.0806891     0.448097
  1.952381      3.66142     0.868218    0.0287101     0.541899     0.262271         0.01     0.081642     0.441853
  2.000000      3.59313     0.862105    0.0289254     0.555806     0.276923         0.01    0.0825608     0.435535
  2.047619      3.52702     0.856379    0.0291354     0.569367     0.291575         0.01     0.083448     0.429159
  2.095238      3.46292      0.85101    0.0293405     0.582604     0.306227         0.01    0.0843058     0.422743
  2.142857       3.4007      0.84597     0.029541     0.595539     0.320879         0.01    0.0851362       0.4163
  2.190476      3.34023     0.841235    0.0297371     0.608191     0.335531         0.01    0.0859411     0.409844
  2.238095       3.2814     0.836784    0.0299291     0.620578     0.350183         0.01     0.086722     0.403384
  2.285714       3.2241     0.832594    0.0301174     0.632714     0.364835         0.01    0.0874804     0.396931
  2.333333      3.16824     0.828649     0.030302     0.644614     0.379487         0.01    0.0882177     0.390494
  2.380952      3.11373     0.824932    0.0304831     0.656291     0.394139         0.01     0.088935     0.384081
  2.428571      3.06051     0.821427     0.030661     0.667755     0.408791         0.01    0.0896335     0.377698
  2.476190       3.0085     0.818119    0.0308359     0.679018     0.423443         0.01    0.0903141     0.371353
