% Gypsum 25 C degree 
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)
  0.000000         9.11        2.482            0        0.001            0         0.01         0.01            0
  0.047619      8.98262      2.42548   0.00012954   0.00451962     0.004329         0.01    0.0116197  0.000215154
  0.095238       8.8645      2.37358   0.00025895   0.00803574   0.00865801         0.01    0.0131222  0.000198142
  0.142857      8.75431      2.32564  0.000388237    0.0115485     0.012987         0.01    0.0145241  0.000183488
  0.190476      8.65099      2.28113  0.000517405     0.015058     0.017316         0.01    0.0158389  0.000170734
  0.238095      8.55367      2.23961   0.00064646    0.0185645     0.021645         0.01    0.0170773  0.000159535
  0.285714      8.46164      2.20073  0.000775406     0.022068     0.025974         0.01    0.0182484  0.000149624
  0.333333      8.37432       2.1642  0.000904245    0.0255686     0.030303         0.01    0.0193596  0.000140793
  0.380952       8.2912      2.12977   0.00103298    0.0290664     0.034632         0.01    0.0204172  0.000132875
  0.428571      8.21187      2.09722   0.00116162    0.0325615     0.038961         0.01    0.0214264  0.000125736
  0.476190      8.13595      2.06638   0.00129016     0.036054      0.04329         0.01     0.022392  0.000119268
  0.523810      8.06314      2.03708   0.00141861    0.0395439     0.047619         0.01    0.0233178   0.00011338
  0.571429      7.99317      2.00919   0.00154696    0.0430313    0.0519481         0.01    0.0242074     0.000108
  0.619048      7.92578       1.9826   0.00167523    0.0465163    0.0562771         0.01    0.0250636  0.000103064
  0.666667      7.86079      1.95719    0.0018034    0.0499989    0.0606061         0.01    0.0258892  9.85211e-05
  0.714286      7.79799      1.93288   0.00193149    0.0534791    0.0649351         0.01    0.0266865  9.43257e-05
  0.761905      7.73723      1.90959    0.0020595     0.056957    0.0692641         0.01    0.0274576    9.044e-05
  0.809524      7.67835      1.88723   0.00218742    0.0604327    0.0735931         0.01    0.0282043  8.68316e-05
  0.857143      7.62123      1.86574   0.00231526    0.0639061    0.0779221         0.01    0.0289284  8.34721e-05
  0.904762      7.56575      1.84507   0.00244302    0.0673774    0.0822511         0.01    0.0296313   8.0337e-05
  0.952381       7.5118      1.82516    0.0025707    0.0708464    0.0865801         0.01    0.0303144  7.74049e-05
