% Sandstone 25 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  0.000000        9.096        2.459            0        0.001          5.1         0.01         0.01            0
  0.000060      9.09555      2.45892  4.97881e-05   0.00104813      5.09995    0.0100001    0.0100056  1.47417e-05
  0.000119       9.0951      2.45884  9.87055e-05   0.00109565       5.0999    0.0100001    0.0100112  2.94803e-05
  0.000179      9.09466      2.45876  0.000146792   0.00114258      5.09986    0.0100002    0.0100167  4.42159e-05
  0.000238      9.09423      2.45869  0.000194086   0.00118895      5.09981    0.0100002    0.0100221  5.89485e-05
  0.000536      9.09214      2.45832  0.000419825   0.00141292      5.09959    0.0100005    0.0100483  0.000132568
  0.000833      9.09015      2.45796  0.000630043   0.00162523      5.09937    0.0100009    0.0100731  0.000206118
  0.001131      9.08826      2.45761  0.000827398   0.00182755      5.09917    0.0100013    0.0100968  0.000279602
  0.001428      9.08644      2.45728    0.0010139   0.00202115      5.09898    0.0100018    0.0101195  0.000353022
  0.002210      9.08197      2.45645   0.00146265   0.00249551       5.0985    0.0100033    0.0101754  0.000545687
  0.002992      9.07785      2.45566   0.00186442   0.00292935      5.09807     0.010005    0.0102268  0.000737964
  0.003774        9.074      2.45491   0.00223111   0.00333157      5.09766     0.010007     0.010275   0.00092988
  0.004555      9.07036      2.45419   0.00257057   0.00370834      5.09728    0.0100093    0.0103205   0.00112146
  0.006161       9.0634      2.45277   0.00320203   0.00441878      5.09657    0.0100147    0.0104075   0.00151388
  0.007767      9.05698      2.45142   0.00376621   0.00506233      5.09592     0.010021    0.0104877   0.00190507
  0.009372      9.05097      2.45013   0.00428073   0.00565477      5.09532     0.010028    0.0105629   0.00229509
  0.010978      9.04526      2.44887   0.00475712   0.00620679      5.09476    0.0100359    0.0106342   0.00268403
  0.014456      9.03375      2.44626   0.00568988    0.0072948      5.09365    0.0100553    0.0107782   0.00352322
  0.017935       9.0231      2.44376   0.00652025   0.00826865      5.09265    0.0100776    0.0109112   0.00435796
  0.021413       9.0131      2.44135   0.00727636   0.00915718      5.09174    0.0101026    0.0110362   0.00518859
  0.024892       9.0036      2.43899   0.00797631   0.00997944      5.09089      0.01013    0.0111551   0.00601534
  0.032687      8.98366       2.4339    0.0093921    0.0116376      5.08916    0.0101995    0.0114042   0.00785495
  0.040483      8.96517      2.42899    0.0106506     0.013101      5.08762     0.010279    0.0116354   0.00967765
  0.048278      8.94772      2.42423     0.011797    0.0144211      5.08621    0.0103675    0.0118535    0.0114847
  0.056074      8.93107      2.41959      0.01286    0.0156314       5.0849     0.010464    0.0120616     0.013277
  0.075305      8.89256       2.4085    0.0152228    0.0182651        5.082     0.010733    0.0125431    0.0176401
  0.094537      8.85678      2.39783    0.0173162    0.0205212      5.07944    0.0110406    0.0129902    0.0219261
  0.113769      8.82299      2.38749    0.0192242    0.0225058      5.07711    0.0113818    0.0134126    0.0261412
  0.133000      8.79068      2.37742    0.0210006    0.0242877      5.07496    0.0117527    0.0138166    0.0302902
  0.168161      8.73459      2.35957    0.0239966    0.0271408      5.07136    0.0124983    0.0145176    0.0377167
  0.203322      8.68158      2.34235    0.0267488    0.0295842       5.0681    0.0133206    0.0151803    0.0449522
  0.238484      8.63095      2.32565     0.029326    0.0317153      5.06508    0.0142091    0.0158131     0.052011
  0.273645      8.58225      2.30941    0.0317749    0.0336015      5.06224    0.0151556    0.0164219    0.0589051
  0.333421      8.50306      2.28273    0.0357198    0.0363618      5.05776    0.0168796    0.0174118    0.0702744
  0.393197      8.42764      2.25707    0.0394585    0.0386705       5.0536    0.0187283    0.0183546    0.0812339
  0.452974      8.35531      2.23232    0.0430503    0.0406245      5.04969    0.0206821    0.0192586    0.0918159
  0.512750      8.28557      2.20837    0.0465386    0.0422967      5.04598    0.0227248    0.0201304     0.102048
  0.605357      8.18183      2.17267     0.051803    0.0444431      5.04052    0.0260352    0.0214272     0.117262
  0.697965      8.08258      2.13853    0.0569497    0.0461514      5.03536    0.0294924    0.0226677     0.131761
  0.790572      7.98715      2.10576    0.0620264    0.0475129      5.03042    0.0330675    0.0238606     0.145605
  0.883180      7.89497      2.07423    0.0670728    0.0486025      5.02566    0.0367357    0.0250129     0.158846
  1.009787      7.77344      2.03292    0.0739728    0.0497485      5.01939    0.0418656     0.026532     0.176053
  1.136394      7.65647      1.99348    0.0809065    0.0505721      5.01333     0.047098    0.0279941     0.192306
  1.263001      7.54344      1.95572     0.087907    0.0511418      5.00745    0.0524048     0.029407     0.207687
  1.389608      7.43379      1.91946    0.0950068    0.0515191      5.00172    0.0577608    0.0307777     0.222266
  1.551620      7.29771      1.87503     0.104277    0.0517934      4.99455    0.0646545    0.0324787     0.239848
  1.713632      7.16581      1.83258     0.113776    0.0518783      4.98755    0.0715723    0.0341273      0.25632
  1.875644      7.03755      1.79192     0.123526     0.051817      4.98069    0.0784943    0.0357306     0.271775
  2.037655      6.91238      1.75285     0.133558    0.0516523      4.97395    0.0854011    0.0372953     0.286294
  2.237846      6.76131      1.70653      0.14638    0.0513529      4.96575    0.0938929    0.0391836     0.303047
  2.438036       6.6137      1.66213     0.159687    0.0509665      4.95771     0.102328    0.0410287     0.318592
  2.638226      6.46903      1.61944     0.173504     0.050514      4.94979     0.110698    0.0428371     0.333027
  2.838416      6.32675      1.57825     0.187862    0.0500204      4.94199     0.118989    0.0446156     0.346442
  3.086948      6.15274      1.52893     0.206485    0.0493773      4.93246     0.129162    0.0467907      0.36179
  3.335480      5.98108      1.48136     0.226019    0.0487017       4.9231     0.139199    0.0489365     0.375809
  3.584012      5.81114      1.43527     0.246506    0.0479993       4.9139       0.1491    0.0510607      0.38861
  3.832544      5.64228      1.39042     0.268002    0.0472829      4.90486     0.158855    0.0531715     0.400291
  4.146163       5.4298      1.33521     0.296663    0.0463719      4.89368      0.17095    0.0558275     0.413565
  4.459783      5.21711      1.28119     0.327133    0.0454418      4.88275     0.182807    0.0584861      0.42534
  4.773402      5.00317      1.22796     0.359547    0.0444881      4.87209     0.194425    0.0611604     0.435748
  5.087021      4.78679       1.1751      0.39409    0.0435148      4.86169     0.205795    0.0638651     0.444903
  5.487799      4.50463      1.10741     0.441707    0.0422462      4.84881     0.219948    0.0673921     0.454942
  5.888577       4.2138      1.03876     0.493675    0.0409198      4.83641     0.233673    0.0710275     0.463283
  6.289354      3.91075     0.968063     0.550758    0.0395107      4.82453     0.246955    0.0748156      0.47009
  6.690132      3.59044     0.893865     0.614114    0.0380086      4.81323     0.259757    0.0788195     0.475511
  7.142558      3.19399     0.802096     0.696628    0.0361624      4.80126     0.273573    0.0837751     0.480138
  7.594983      2.75991     0.701398      0.79091    0.0340926      4.79023     0.286673    0.0892011     0.483346
  8.047409      2.25516     0.583055     0.905315    0.0316358      4.78042     0.298945    0.0955105     0.485315
  8.499835      1.58674     0.423056      1.06341    0.0284652      4.77236     0.310174     0.103866     0.486269
  8.584385      1.43039     0.385125      1.10117    0.0277502      4.77112     0.312132      0.10582     0.486355
  8.668935      1.25725     0.342908      1.14326    0.0269733      4.76999     0.314038     0.107984     0.486417
  8.753486      1.06003     0.294553      1.19153    0.0261173        4.769     0.315887      0.11045     0.486458
  8.838036     0.825055      0.23661      1.24943    0.0251543      4.76817     0.317673     0.113387     0.486481
  8.870026     0.721915     0.211078      1.27495    0.0247539      4.76792     0.318331     0.114676     0.486486
  8.902017     0.607414      0.18267      1.30335    0.0243287      4.76769     0.318978     0.116107     0.486489
  8.934008     0.477858     0.150459      1.33556    0.0238734      4.76751     0.319613     0.117727     0.486491
  8.965998     0.328263     0.113191      1.37283    0.0233817      4.76738     0.320235     0.119597     0.486492
  8.973801     0.288163     0.103189      1.38283    0.0232553      4.76736     0.320385     0.120098     0.486492
  8.981603     0.246752    0.0928563      1.39316    0.0231262      4.76734     0.320534     0.120616     0.486492
  8.989406     0.204492    0.0823075      1.40371    0.0229942      4.76732     0.320682     0.121144     0.486492
  8.997208     0.162335    0.0717809      1.41423    0.0228594      4.76731      0.32083     0.121671     0.486492
  9.005011     0.121864    0.0616719      1.42434    0.0227219       4.7673     0.320976     0.122177     0.486492
  9.012813    0.0862201    0.0527669      1.43325    0.0225822       4.7673     0.321122     0.122622     0.486492
  9.020615    0.0579725    0.0457085      1.44031     0.022441      4.76729     0.321267     0.122975     0.486492
  9.028418     0.038229    0.0407744      1.44524    0.0222991      4.76729      0.32141     0.123222     0.486492
  9.031763    0.0322254     0.039274      1.44674    0.0222382      4.76729     0.321472     0.123297     0.486492
  9.035109    0.0273692    0.0380603      1.44796    0.0221774      4.76729     0.321533     0.123358     0.486492
  9.038454    0.0234656    0.0370847      1.44893    0.0221166      4.76729     0.321594     0.123407     0.486492
  9.041799     0.020312    0.0362965      1.44972    0.0220559      4.76729     0.321655     0.123446     0.486492
  9.045145    0.0177349    0.0356524      1.45036    0.0219954      4.76729     0.321715     0.123478     0.486492
  9.048490    0.0156302    0.0351264      1.45089     0.021935      4.76729     0.321776     0.123505     0.486492
  9.051835    0.0139012    0.0346942      1.45132    0.0218748      4.76729     0.321836     0.123526     0.486492
  9.055181    0.0124615    0.0343344      1.45168    0.0218147      4.76729     0.321897     0.123544     0.486492
  9.059083     0.011063    0.0339848      1.45203    0.0217447      4.76729     0.321967     0.123562     0.486492
  9.062984   0.00991075    0.0336968      1.45232     0.021675      4.76729     0.322036     0.123576     0.486492
  9.066886   0.00895231    0.0334573      1.45256    0.0216055      4.76729     0.322106     0.123588     0.486492
  9.070788   0.00814302     0.033255      1.45276    0.0215363      4.76729     0.322175     0.123598     0.486492
  9.075690   0.00728926    0.0330416      1.45297    0.0214495      4.76729     0.322262     0.123609     0.486492
  9.080592   0.00658255     0.032865      1.45315    0.0213631      4.76729     0.322348     0.123618     0.486492
  9.085495   0.00599099    0.0327171       1.4533    0.0212771      4.76729     0.322435     0.123625     0.486492
  9.090397   0.00548805    0.0325914      1.45342    0.0211913      4.76729      0.32252     0.123631     0.486492
  9.096802   0.00493402    0.0324529      1.45356    0.0210799      4.76729     0.322632     0.123638     0.486492
  9.103207    0.0044743     0.032338      1.45368     0.020969      4.76729     0.322743     0.123644     0.486492
  9.109611   0.00408821    0.0322415      1.45377    0.0208587      4.76729     0.322853     0.123649     0.486492
  9.116016   0.00375874    0.0321592      1.45386    0.0207489      4.76729     0.322963     0.123653     0.486492
  9.124542   0.00338796    0.0320665      1.45395    0.0206037      4.76729     0.323108     0.123658     0.486492
  9.133069   0.00307967    0.0319894      1.45403    0.0204596      4.76729     0.323252     0.123662     0.486492
  9.141595   0.00282013    0.0319246      1.45409    0.0203164      4.76729     0.323395     0.123665     0.486492
  9.150121   0.00259807    0.0318691      1.45415    0.0201742      4.76729     0.323538     0.123668     0.486492
  9.161579   0.00234524    0.0318059      1.45421    0.0199847      4.76729     0.323727     0.123671     0.486492
  9.173036   0.00213461    0.0317532      1.45426     0.019797      4.76729     0.323915     0.123673     0.486492
  9.184494   0.00195691    0.0317088      1.45431    0.0196111      4.76729     0.324101     0.123676     0.486492
  9.195952   0.00180454    0.0316707      1.45434    0.0194269      4.76729     0.324285     0.123677     0.486492
  9.211398   0.00163013    0.0316271      1.45439    0.0191813      4.76729     0.324531      0.12368     0.486492
  9.226844    0.0014845    0.0315907      1.45442    0.0189388      4.76729     0.324773     0.123681     0.486492
  9.242290   0.00136138      0.03156      1.45446    0.0186994      4.76729     0.325012     0.123683     0.486492
  9.257736    0.0012556    0.0315335      1.45448     0.018463      4.76729     0.325249     0.123684     0.486492
  9.278525   0.00113442    0.0315032      1.45451    0.0181495      4.76729     0.325562     0.123686     0.486492
  9.299314   0.00103297    0.0314779      1.45454    0.0178414      4.76729      0.32587     0.123687     0.486492
