% Sandstone 34 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  0.000000        9.394         2.26            0        0.001          0.1         0.01         0.01            0
  0.000002      9.39366      2.25996  3.51537e-05   0.00105022    0.0999498         0.01    0.0100043  4.58488e-07
  0.000004      9.39332      2.25993  6.88032e-05   0.00110042    0.0998996         0.01    0.0100085  8.97375e-07
  0.000005      9.39299       2.2599  0.000101073   0.00115058    0.0998494         0.01    0.0100126  1.31828e-06
  0.000007      9.39266      2.25986  0.000132072   0.00120072    0.0997993         0.01    0.0100167  1.72264e-06
  0.000016       9.3911      2.25972  0.000271174   0.00145098     0.099549         0.01    0.0100363  3.53724e-06
  0.000025      9.38962       2.2596  0.000389246   0.00170054    0.0992994    0.0100001    0.0100547  5.07768e-06
  0.000034      9.38821       2.2595  0.000491944   0.00194939    0.0990505    0.0100001    0.0100724  6.41763e-06
  0.000043      9.38685       2.2594  0.000582988   0.00219754    0.0988023    0.0100002    0.0100894  7.60559e-06
  0.000061      9.38421      2.25924  0.000740592   0.00269772     0.098302    0.0100003    0.0101224  9.66215e-06
  0.000079      9.38168      2.25911  0.000871934   0.00319507    0.0978046    0.0100004    0.0101539  1.13761e-05
  0.000098      9.37925      2.25899  0.000984749   0.00368962    0.0973099    0.0100005    0.0101844  1.28483e-05
  0.000116      9.37688      2.25889   0.00108392   0.00418138    0.0968179    0.0100007     0.010214  1.41425e-05
  0.000150      9.37258      2.25873   0.00124256   0.00509617    0.0959028     0.010001    0.0102678  1.62127e-05
  0.000184      9.36842      2.25859   0.00137518   0.00600138    0.0949972    0.0100015    0.0103198  1.79433e-05
  0.000218      9.36437      2.25847    0.0014894   0.00689714    0.0941009     0.010002    0.0103704  1.94338e-05
  0.000252      9.36041      2.25837   0.00159006   0.00778357    0.0932139    0.0100025    0.0104198  2.07474e-05
  0.000321      9.35263      2.25819   0.00176363   0.00955307     0.091443    0.0100039    0.0105172  2.30122e-05
  0.000390      9.34511      2.25804   0.00190765    0.0112856    0.0897089    0.0100055    0.0106112  2.48914e-05
  0.000460      9.33781      2.25792   0.00203125    0.0129821    0.0880105    0.0100074    0.0107024  2.65041e-05
  0.000529      9.33072       2.2578   0.00214008    0.0146434     0.086347    0.0100096     0.010791  2.79241e-05
  0.000669      9.31686      2.25761   0.00232802    0.0179122    0.0830731    0.0100148    0.0109643   3.0376e-05
  0.000809      9.30367      2.25745    0.0024844     0.021046    0.0799331     0.010021    0.0111292  3.24161e-05
  0.000950      9.29107      2.25731   0.00261925    0.0240511    0.0769208    0.0100281    0.0112866  3.41752e-05
  0.001090      9.27902      2.25719   0.00273869    0.0269334    0.0740303    0.0100362    0.0114372  3.57333e-05
  0.001376      9.25603      2.25698   0.00294766    0.0324498    0.0684947    0.0100555    0.0117246   3.8459e-05
  0.001662      9.23494      2.25679   0.00312404    0.0375229    0.0633989    0.0100782    0.0119883  4.07594e-05
  0.001948      9.21553      2.25664   0.00327842    0.0421919     0.058704     0.010104    0.0122309  4.27728e-05
  0.002234      9.19765      2.25649   0.00341724    0.0464919    0.0543753    0.0101328    0.0124543  4.45831e-05
  0.002819       9.1653      2.25624   0.00366642    0.0542617    0.0465387    0.0101996    0.0128588  4.78324e-05
  0.003403      9.13777      2.25602   0.00388319    0.0608476    0.0398766    0.0102759    0.0132029  5.06587e-05
  0.003988      9.11429      2.25582   0.00407836     0.066435    0.0342048    0.0103602    0.0134963  5.32031e-05
  0.004572      9.09419      2.25563    0.0042588    0.0711858    0.0293628    0.0104514    0.0137476  5.55553e-05
  0.005305      9.07294      2.25541    0.0044698    0.0761638    0.0242624    0.0105738    0.0140133  5.83058e-05
  0.006037      9.05535      2.25521   0.00466806    0.0802298    0.0200666    0.0107036    0.0142331  6.08898e-05
  0.006770      9.04078      2.25502   0.00485686     0.083545    0.0166153    0.0108397    0.0144152  6.33504e-05
  0.007503      9.02865      2.25483   0.00503877    0.0862529    0.0137664    0.0109807    0.0145669  6.57209e-05
  0.008253      9.01827      2.25464   0.00521965    0.0885168     0.011354    0.0111292    0.0146967  6.80779e-05
  0.009003      9.00961      2.25446   0.00539618    0.0903501   0.00936867    0.0112812    0.0148049   7.0378e-05
  0.009753      9.00238      2.25429   0.00556929    0.0918276   0.00773642     0.011436    0.0148953  7.26334e-05
  0.010503       8.9963      2.25411   0.00573979    0.0930161   0.00639078    0.0115931    0.0149712  7.48545e-05
  0.011267      8.99108      2.25393   0.00591135    0.0939862   0.00525891    0.0117549    0.0150365  7.70892e-05
  0.012031      8.98667      2.25376   0.00608122    0.0947532   0.00432854    0.0119182    0.0150916  7.93019e-05
  0.012795      8.98293      2.25359   0.00624977    0.0953524   0.00356492    0.0120827    0.0151383  8.14971e-05
  0.013559      8.97974      2.25342   0.00641731    0.0958152   0.00293664    0.0122481    0.0151782  8.36791e-05
  0.014329      8.97697      2.25324   0.00658546    0.0961703   0.00241409    0.0124156    0.0152129  8.58688e-05
  0.015099      8.97457      2.25307   0.00675301    0.0964316   0.00198478    0.0125836    0.0152428  8.80505e-05
  0.015869      8.97249       2.2529   0.00692012    0.0966153   0.00163267     0.012752    0.0152689  9.02263e-05
  0.016639      8.97066      2.25273   0.00708691    0.0967361   0.00134323    0.0129206    0.0152918  9.23978e-05
  0.017412      8.96902      2.25256   0.00725414    0.0968062   0.00110369    0.0130901    0.0153123  9.45749e-05
  0.018185      8.96756      2.25239   0.00742124    0.0968334  0.000906932    0.0132596    0.0153306  9.67501e-05
  0.018958      8.96623      2.25221   0.00758828    0.0968252  0.000745616    0.0134292    0.0153471  9.89244e-05
  0.019731      8.96503      2.25204   0.00775533    0.0967882  0.000613068    0.0135987    0.0153622  0.000101099
  0.020506      8.96391      2.25187   0.00792272    0.0967279  0.000503624    0.0137685    0.0153761  0.000103277
  0.021280      8.96287       2.2517    0.0080902    0.0966482  0.000413742    0.0139381    0.0153891  0.000105456
  0.022054       8.9619      2.25153   0.00825779    0.0965524  0.000340061    0.0141075    0.0154013  0.000107637
  0.022829      8.96098      2.25135   0.00842553    0.0964437  0.000279531    0.0142768    0.0154128   0.00010982
  0.023683      8.96001      2.25116   0.00861086    0.0963117  0.000224976    0.0144633    0.0154249  0.000112231
  0.024538      8.95908      2.25097   0.00879641    0.0961693   0.00018108    0.0146497    0.0154365  0.000114645
  0.025393      8.95819      2.25078   0.00898221    0.0960184  0.000145871    0.0148357    0.0154477  0.000117062
  0.026247      8.95732      2.25059   0.00916828    0.0958611  0.000117532    0.0150214    0.0154585  0.000119482
  0.027242      8.95634      2.25037   0.00938516    0.0956716  9.12467e-05    0.0152372    0.0154708  0.000122303
  0.028237      8.95537      2.25015   0.00960244    0.0954767  7.08454e-05    0.0154525    0.0154828  0.000125128
  0.029231      8.95443      2.24992   0.00982012    0.0952775  5.51235e-05    0.0156673    0.0154946  0.000127959
  0.030226       8.9535       2.2497    0.0100382    0.0950753  4.29186e-05    0.0158818    0.0155063  0.000130795
  0.031397      8.95241      2.24944    0.0102956    0.0948347  3.15964e-05    0.0161337    0.0155199   0.00013414
  0.032568      8.95133      2.24917    0.0105535    0.0945915   2.3584e-05    0.0163849    0.0155334  0.000137494
  0.033739      8.95026      2.24891    0.0108121    0.0943459  1.85076e-05    0.0166356    0.0155467  0.000140854
  0.034911       8.9492      2.24864    0.0110713    0.0940999  1.45685e-05    0.0168855      0.01556  0.000144223
  0.036413      8.94783       2.2483    0.0114046    0.0937854  9.41592e-06    0.0172052    0.0155772  0.000148554
  0.037915      8.94646      2.24796     0.011739    0.0934697   6.4854e-06    0.0175238    0.0155943  0.000152898
  0.039417       8.9451      2.24761    0.0120743    0.0931528  5.95624e-06    0.0178413    0.0156113  0.000157255
  0.040919      8.94373      2.24727    0.0124107    0.0928369  5.38954e-06    0.0181577    0.0156283  0.000161624
  0.042584      8.94221      2.24688    0.0127846    0.0924895  3.44357e-06     0.018507    0.0156474   0.00016648
  0.044248      8.94068       2.2465    0.0131598    0.0921427  2.23324e-06     0.018855    0.0156664  0.000171351
